NAME,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area
"Gallipolis, OH Micro Area",0.0,1.9,0.5,90.6,0.6,6.4,23680
"Gallup, NM Micro Area",0.0,2.1,1.1,86.5,0.7,9.6,23700
"Garden City, KS Micro Area",0.1,0.8,0.3,95.3,0.4,3.1,23780
"Gardnerville Ranchos, NV-CA Micro Area",0.7,1.6,0.2,82.3,3.0,12.3,23820
"Gettysburg, PA Metro Area",0.4,4.0,0.2,84.8,0.7,9.8,23900
"Gillette, WY Micro Area",0.5,1.8,0.8,90.6,0.9,5.4,23940
"Glasgow, KY Micro Area",0.0,1.5,0.3,90.0,1.4,6.6,23980
"Glens Falls, NY Metro Area",0.2,2.6,0.5,87.1,1.4,8.3,24020
"Gloversville, NY Micro Area",0.1,2.9,0.3,89.3,1.0,6.4,24100
"Goldsboro, NC Metro Area",0.2,0.7,0.4,94.0,0.7,4.0,24140
"Granbury, TX Micro Area",0.0,0.8,0.0,85.6,0.8,12.8,24180
"Grand Forks, ND-MN Metro Area",0.3,4.0,0.9,87.8,1.4,5.6,24220
"Grand Island, NE Metro Area",0.1,1.3,0.3,92.7,1.4,4.2,24260
"Grand Junction, CO Metro Area",1.3,2.4,0.8,80.7,1.8,13.1,24300
"Grand Rapids, MN Micro Area",0.6,2.2,1.3,86.8,1.1,8.0,24330
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",0.4,2.1,1.1,84.5,0.7,11.2,24340
"Grants Pass, OR Metro Area",0.4,2.1,0.5,84.4,1.4,11.2,24420
"Great Bend, KS Micro Area",0.2,2.8,0.1,87.9,0.6,8.5,24460
"Great Falls, MT Metro Area",0.7,2.3,0.7,88.2,1.1,7.0,24500
"Greeley, CO Metro Area",0.2,1.6,0.4,83.5,1.1,13.2,24540
"Green Bay, WI Metro Area",0.2,1.7,0.4,86.4,0.9,10.4,24580
"Greencastle, IN Micro Area",0.0,5.1,0.0,85.0,0.5,9.5,24600
"Greeneville, TN Micro Area",0.1,1.2,0.1,91.0,1.1,6.6,24620
"Greenfield, MA Micro Area",0.3,4.0,1.2,79.0,0.8,14.7,24640
"Greensboro-High Point, NC Metro Area",0.1,1.6,1.1,85.4,1.6,10.3,24660
"Greensburg, IN Micro Area",0.0,2.8,0.0,87.1,1.0,9.0,24700
"Greenville, MS Micro Area",0.1,1.8,0.8,93.3,0.8,3.2,24740
"Greenville, NC Metro Area",0.1,2.2,0.7,85.0,1.0,11.0,24780
"Greenville, OH Micro Area",0.1,2.0,0.2,91.0,1.3,5.6,24820
"Greenville-Anderson-Greer, SC Metro Area",0.2,1.4,0.3,86.3,1.5,10.3,24860
"Greenwood, MS Micro Area",0.0,1.8,0.1,91.2,2.0,4.9,24900
"Greenwood, SC Micro Area",0.1,1.1,0.0,93.4,1.5,3.9,24940
"Grenada, MS Micro Area",0.0,1.4,0.0,94.0,1.9,2.7,24980
"Guayama, PR Metro Area",0.0,3.5,0.4,93.0,0.7,2.5,25020
"Gulfport-Biloxi, MS Metro Area",0.1,2.1,0.1,90.2,1.3,6.3,25060
"Guymon, OK Micro Area",0.0,2.4,1.2,92.9,0.5,3.1,25100
"Hagerstown-Martinsburg, MD-WV Metro Area",0.1,1.2,0.7,86.6,1.2,10.2,25180
"Hailey, ID Micro Area",2.2,3.1,1.0,80.0,1.6,12.1,25200
"Hammond, LA Metro Area",0.2,1.5,0.2,90.3,1.6,6.3,25220
"Hanford-Corcoran, CA Metro Area",0.4,1.9,0.5,91.0,1.5,4.8,25260
"Hannibal, MO Micro Area",0.0,3.7,0.2,89.0,1.3,5.8,25300
"Harrisburg-Carlisle, PA Metro Area",0.3,3.0,0.8,79.7,1.3,14.9,25420
"Harrison, AR Micro Area",0.0,2.3,0.0,86.2,0.6,10.9,25460
"Harrisonburg, VA Metro Area",0.8,4.0,0.6,85.7,0.7,8.3,25500
"Hartford-West Hartford-East Hartford, CT Metro Area",0.2,1.9,2.4,79.1,1.2,15.2,25540
"Hastings, NE Micro Area",0.1,3.2,0.1,90.8,1.0,4.8,25580
"Hattiesburg, MS Metro Area",0.4,1.2,0.3,89.7,4.5,3.8,25620
"Hays, KS Micro Area",0.0,7.0,0.0,86.2,0.8,6.0,25700
"Heber, UT Micro Area",0.2,1.4,1.3,74.2,1.3,21.6,25720
"Helena, MT Metro Area",0.7,4.2,0.2,81.0,1.3,12.6,25740
"Hemlock Farms, PA Micro Area",0.2,1.0,2.3,82.3,1.5,12.7,25770
"Henderson, KY Micro Area",0.3,1.6,0.1,92.5,1.1,4.3,25775
"Henderson, NC Micro Area",0.0,1.4,0.1,88.8,0.6,9.2,25780
"Hereford, TX Micro Area",0.0,0.6,0.0,92.2,4.0,3.3,25820
"Hermiston-Pendleton, OR Micro Area",0.3,2.5,0.8,89.6,1.2,5.4,25840
"Hermitage, PA Micro Area",0.1,2.8,0.2,87.7,1.4,7.8,25850
"Hickory-Lenoir-Morganton, NC Metro Area",0.1,0.7,0.1,91.6,0.9,6.6,25860
"Hillsdale, MI Micro Area",0.5,4.6,0.2,85.8,1.0,7.9,25880
"Hilo-Kailua, HI Micro Area",0.3,1.9,0.8,84.4,1.8,10.9,25900
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",0.4,1.9,0.7,85.4,0.9,10.7,25940
"Hinesville, GA Metro Area",0.3,2.3,0.3,90.1,1.1,5.9,25980
"Hobbs, NM Micro Area",0.0,0.9,0.2,94.4,0.8,3.7,26020
"Holland, MI Micro Area",0.1,1.7,0.3,87.9,1.0,9.0,26090
"Homosassa Springs, FL Metro Area",0.4,0.9,0.2,84.8,1.7,12.1,26140
"Hood River, OR Micro Area",1.0,5.9,0.8,73.0,1.1,18.2,26220
"Hot Springs, AR Metro Area",0.0,1.6,0.2,90.7,1.2,6.2,26300
"Houghton, MI Micro Area",1.0,10.3,2.0,75.2,1.5,10.0,26340
"Houma-Bayou Cane-Thibodaux, LA Metro Area",0.0,1.8,0.4,91.5,2.5,3.8,26380
"Houston-Pasadena-The Woodlands, TX Metro Area",0.2,1.2,1.6,83.2,1.9,11.9,26420
"Hudson, NY Micro Area",0.7,3.3,2.9,74.8,2.6,15.7,26460
"Huntingdon, PA Micro Area",0.0,5.0,0.1,86.8,1.6,6.6,26500
"Huntington, IN Micro Area",0.4,3.0,0.1,89.4,0.8,6.4,26540
"Huntington-Ashland, WV-KY-OH Metro Area",0.2,2.4,0.3,90.1,1.0,6.0,26580
"Huntsville, AL Metro Area",0.0,0.8,0.2,85.2,1.1,12.7,26620
"Huntsville, TX Micro Area",1.0,3.7,0.1,86.6,1.3,7.2,26660
"Huron, SD Micro Area",0.2,3.7,0.2,87.5,3.0,5.4,26700
"Hutchinson, KS Micro Area",0.6,1.2,0.1,91.0,1.3,5.8,26740
"Hutchinson, MN Micro Area",0.8,2.9,0.5,87.1,1.2,7.7,26780
"Idaho Falls, ID Metro Area",0.5,1.5,2.3,85.7,1.2,8.9,26820
"Indiana, PA Micro Area",0.3,6.4,0.4,84.3,1.2,7.4,26860
"Indianapolis-Carmel-Greenwood, IN Metro Area",0.3,1.3,0.7,82.9,0.9,14.0,26900
"Iowa City, IA Metro Area",1.7,7.3,3.7,74.2,1.1,12.1,26980
"Iron Mountain, MI-WI Micro Area",0.1,2.4,0.4,88.0,1.0,8.2,27020
"Ithaca, NY Metro Area",1.5,10.4,5.4,62.4,1.4,19.0,27060
"Jackson, MI Metro Area",0.2,2.0,0.3,87.8,0.7,9.0,27100
"Jackson, MS Metro Area",0.1,1.2,0.4,90.8,0.8,6.8,27140
"Jackson, TN Metro Area",0.0,1.2,0.3,88.5,2.6,7.3,27180
"Jackson, WY-ID Micro Area",2.5,7.3,1.9,73.3,0.6,14.3,27220
"Jacksonville, FL Metro Area",0.4,1.1,0.8,80.4,1.8,15.6,27260
"Jacksonville, IL Micro Area",0.1,1.4,1.0,88.2,0.3,8.9,27300
"Jacksonville, NC Metro Area",0.1,7.5,0.1,79.1,2.3,10.9,27340
"Jacksonville, TX Micro Area",0.0,1.4,0.1,87.1,0.8,10.6,27380
"Jamestown, ND Micro Area",0.0,3.4,0.1,89.8,0.8,5.8,27420
"Jamestown-Dunkirk, NY Micro Area",0.4,3.9,0.5,86.6,1.6,7.0,27460
"Janesville-Beloit, WI Metro Area",0.2,1.8,0.5,88.5,1.0,8.2,27500
"Jasper, IN Micro Area",0.1,1.4,0.0,92.7,0.9,4.8,27540
"Jefferson, GA Micro Area",0.1,0.4,0.5,86.3,1.5,11.1,27600
"Jefferson City, MO Metro Area",0.1,1.7,0.5,88.5,1.4,7.8,27620
"Jesup, GA Micro Area",0.1,0.9,1.0,91.4,2.0,4.6,27700
"Johnson City, TN Metro Area",0.0,1.4,0.3,87.8,1.3,9.3,27740
"Johnstown, PA Metro Area",0.1,2.7,0.9,86.2,0.9,9.2,27780
"Jonesboro, AR Metro Area",0.0,1.6,0.1,92.3,0.6,5.4,27860
"Joplin, MO-KS Metro Area",0.1,1.3,0.1,89.9,1.1,7.5,27900
"Juneau, AK Micro Area",0.5,6.3,2.4,76.9,1.5,12.4,27940
"Kahului-Wailuku, HI Metro Area",0.6,2.3,1.3,84.3,2.1,9.4,27980
"Kalamazoo-Portage, MI Metro Area",0.2,2.5,1.1,84.4,0.6,11.3,28020
"Kalispell, MT Micro Area",0.6,2.9,0.1,80.2,1.5,14.7,28060
"Kankakee, IL Metro Area",0.2,2.9,1.1,86.9,1.6,7.2,28100
"Kansas City, MO-KS Metro Area",0.1,1.1,0.6,81.9,1.1,15.2,28140
"Kapaa, HI Micro Area",0.2,2.6,1.0,87.4,0.9,7.9,28180
"Kearney, NE Micro Area",0.2,1.8,0.2,92.2,0.8,4.8,28260
"Keene, NH Micro Area",0.5,2.7,0.1,84.6,0.7,11.3,28300
"Kendallville, IN Micro Area",0.5,1.5,0.2,91.4,1.5,4.9,28340
"Kennett, MO Micro Area",0.8,1.4,0.1,93.3,0.8,3.6,28380
"Kennewick-Richland, WA Metro Area",0.2,1.1,0.8,86.8,0.9,10.2,28420
"Kenosha, WI Metro Area",0.2,1.6,0.7,86.8,1.4,9.3,28450
"Kerrville, TX Micro Area",1.1,2.7,0.1,85.0,1.2,9.8,28500
"Ketchikan, AK Micro Area",0.0,6.9,2.9,82.2,3.3,4.7,28540
"Key West-Key Largo, FL Micro Area",5.5,4.8,0.3,73.5,4.6,11.2,28580
"Kill Devil Hills, NC Micro Area",1.0,2.1,0.0,81.8,0.8,14.3,28620
"Killeen-Temple, TX Metro Area",0.1,2.9,0.3,86.6,1.3,8.8,28660
"Kingsland, GA Micro Area",0.5,3.9,0.8,84.0,0.6,10.3,28680
"Kingsport-Bristol, TN-VA Metro Area",0.0,1.4,0.1,88.4,1.3,8.8,28700
"Kingston, NY Metro Area",0.4,3.0,2.1,77.7,1.4,15.4,28740
"Kingsville, TX Micro Area",0.8,3.8,0.1,88.0,1.6,5.7,28780
"Kinston, NC Micro Area",0.0,1.2,0.5,94.7,0.7,2.9,28820
"Kirksville, MO Micro Area",0.1,3.8,0.1,87.2,1.3,7.5,28860
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",0.2,3.4,4.1,78.1,1.7,12.6,28880
"Klamath Falls, OR Micro Area",0.4,2.8,0.2,87.5,0.8,8.3,28900
"Knoxville, TN Metro Area",0.1,1.3,0.3,85.8,0.8,11.6,28940
"Kokomo, IN Metro Area",0.1,1.5,0.2,91.0,1.0,6.2,29020
"Laconia, NH Micro Area",0.2,1.4,0.3,85.8,0.9,11.5,29060
"La Crosse-Onalaska, WI-MN Metro Area",0.8,3.7,0.8,83.0,1.1,10.6,29100
"Lafayette, LA Metro Area",0.3,1.8,0.4,88.7,1.1,7.7,29180
"Lafayette-West Lafayette, IN Metro Area",0.7,5.3,2.1,82.1,0.6,9.2,29200
"La Grande, OR Micro Area",0.9,5.6,0.3,84.3,2.0,6.8,29260
"LaGrange, GA-AL Micro Area",0.1,1.7,0.2,91.0,1.4,5.7,29300
"Lake Charles, LA Metro Area",0.2,1.6,0.2,92.1,1.1,4.8,29340
"Lake City, FL Micro Area",0.2,0.4,0.1,90.5,1.7,7.1,29380
"Lake Havasu City-Kingman, AZ Metro Area",0.3,1.1,0.4,87.5,2.7,8.0,29420
"Lakeland-Winter Haven, FL Metro Area",0.4,0.9,0.3,85.7,1.8,10.8,29460
"Lake of the Woods, VA Micro Area",0.0,1.3,0.2,84.7,0.6,13.1,29470
"Lancaster, PA Metro Area",0.7,3.5,0.8,83.3,1.4,10.3,29540
"Lansing-East Lansing, MI Metro Area",0.7,3.2,1.7,78.6,1.1,14.7,29620
"Laramie, WY Micro Area",4.0,8.8,1.9,75.4,1.0,8.9,29660
"Laredo, TX Metro Area",0.1,1.5,0.8,90.7,1.6,5.4,29700
"Lares, PR Micro Area",0.0,3.4,0.3,95.1,0.1,1.1,29720
"Las Cruces, NM Metro Area",0.9,1.8,0.3,86.5,1.6,9.0,29740
"Las Vegas, NM Micro Area",0.3,4.0,0.0,81.1,1.9,12.6,29780
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",0.2,1.2,2.4,83.0,2.6,10.7,29820
"Laurel, MS Micro Area",0.0,1.0,0.5,94.3,1.3,2.9,29860
"Laurinburg, NC Micro Area",0.1,1.1,0.1,93.1,1.2,4.4,29900
"Lawrence, KS Metro Area",0.9,4.1,2.6,77.2,1.1,14.1,29940
"Lawrenceburg, TN Micro Area",0.0,0.8,0.1,91.3,0.7,7.1,29980
"Lawton, OK Metro Area",0.3,1.9,0.4,85.2,1.8,10.4,30020
"Lebanon, MO Micro Area",0.4,1.7,0.2,91.7,2.1,3.9,30060
"Lebanon, PA Metro Area",0.2,3.1,0.6,84.8,1.2,10.1,30140
"Lebanon-Claremont, NH-VT Micro Area",0.4,3.8,0.5,80.1,1.2,13.9,30150
"Le Mars, IA Micro Area",0.1,2.2,0.4,88.0,0.7,8.6,30180
"Lewisburg, PA Micro Area",1.9,9.7,0.3,79.6,1.0,7.5,30260
"Lewisburg, TN Micro Area",0.0,1.0,0.0,85.5,0.5,12.9,30280
"Lewiston, ID-WA Metro Area",0.2,2.4,0.3,88.1,0.5,8.5,30300
"Lewiston-Auburn, ME Metro Area",0.1,3.1,0.4,83.3,1.1,12.1,30340
"Lewistown, PA Micro Area",0.1,1.5,0.2,91.7,0.9,5.5,30380
"Lexington, NE Micro Area",0.4,1.6,0.7,93.1,2.3,2.0,30420
"Lexington-Fayette, KY Metro Area",0.4,2.5,0.9,84.7,0.8,10.7,30460
"Lexington Park, MD Metro Area",0.1,1.7,1.3,80.2,0.9,15.8,30500
"Liberal, KS Micro Area",0.0,1.9,0.0,93.5,1.5,3.0,30580
"Lima, OH Metro Area",0.3,1.4,0.5,92.0,1.2,4.6,30620
"Lincoln, IL Micro Area",0.0,2.9,0.5,88.5,0.8,7.3,30660
"Lincoln, NE Metro Area",0.8,3.0,0.8,84.7,0.7,9.9,30700
"Little Rock-North Little Rock-Conway, AR Metro Area",0.1,1.2,0.5,88.1,1.0,9.1,30780
"Lock Haven, PA Micro Area",0.1,4.3,0.4,86.3,1.3,7.5,30820
"Logan, UT-ID Metro Area",1.3,3.8,1.9,79.2,1.0,12.7,30860
"Logansport, IN Micro Area",0.3,1.2,0.2,94.0,0.9,3.4,30900
"Longview, TX Metro Area",0.2,1.1,0.1,91.9,0.9,5.8,30980
"Longview-Kelso, WA Metro Area",0.3,1.0,0.5,89.8,1.1,7.3,31020
"Los Alamos, NM Micro Area",1.1,2.1,1.7,79.8,1.1,14.2,31060
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.6,2.3,3.5,76.3,1.8,15.5,31080
"Louisville/Jefferson County, KY-IN Metro Area",0.2,1.5,1.2,84.4,1.2,11.6,31140
"Lubbock, TX Metro Area",0.4,2.0,0.5,89.6,1.0,6.4,31180
"Ludington, MI Micro Area",0.2,2.1,0.4,87.3,0.8,9.2,31220
"Lufkin, TX Micro Area",0.1,1.2,0.1,92.0,1.2,5.4,31260
"Lumberton, NC Micro Area",0.1,1.2,0.4,93.4,1.2,3.8,31300
"Lynchburg, VA Metro Area",0.0,2.2,0.7,85.2,1.5,10.4,31340
"Macomb, IL Micro Area",0.7,5.4,0.5,86.0,0.9,6.5,31380
"Macon-Bibb County, GA Metro Area",0.1,1.6,0.6,88.3,1.4,8.0,31420
"Madison, IN Micro Area",0.1,2.5,0.0,91.3,1.2,4.9,31500
"Madison, WI Metro Area",1.6,4.8,2.6,73.3,1.0,16.7,31540
"Madisonville, KY Micro Area",0.0,0.8,0.0,95.1,0.3,3.7,31580
"Magnolia, AR Micro Area",0.4,3.6,0.6,90.1,1.2,4.0,31620
"Malvern, AR Micro Area",0.0,1.9,0.3,93.2,1.9,2.6,31680
"Manchester-Nashua, NH Metro Area",0.2,1.7,0.6,80.3,1.1,16.1,31700
"Manhattan, KS Metro Area",0.6,9.5,0.3,79.9,1.0,8.7,31740
"Manitowoc, WI Micro Area",0.3,3.4,0.5,87.8,0.7,7.3,31820
"Mankato, MN Metro Area",0.4,4.0,1.3,82.9,1.1,10.2,31860
"Mansfield, OH Metro Area",0.3,1.2,0.5,92.0,0.9,5.1,31900
"Marietta, OH Micro Area",0.2,2.2,0.5,88.5,0.5,8.0,31930
"Marinette, WI-MI Micro Area",0.7,3.1,0.2,87.8,1.5,6.9,31940
"Marion, IN Micro Area",0.5,5.9,0.2,85.4,0.8,7.2,31980
"Marion, NC Micro Area",0.0,1.3,0.0,92.6,0.8,5.3,32000
"Marion, OH Micro Area",0.0,0.9,0.6,91.6,1.1,5.9,32020
"Marion-Herrin, IL Micro Area",0.2,0.8,0.3,89.1,0.9,8.6,32060
"Marquette, MI Micro Area",0.8,5.0,0.4,86.5,0.5,6.7,32100
"Marshall, MN Micro Area",0.6,4.1,0.1,82.6,2.2,10.4,32140
"Marshall, MO Micro Area",0.1,4.3,0.0,89.0,1.2,5.3,32180
"Marshalltown, IA Micro Area",0.2,2.9,0.0,89.4,0.5,7.0,32260
"Martin, TN Micro Area",0.2,2.8,0.3,86.1,3.8,6.8,32280
"Martinsville, VA Micro Area",0.0,0.6,0.2,90.6,1.6,7.1,32300
"Maryville, MO Micro Area",0.0,1.9,0.0,92.1,0.5,5.5,32340
"Mason City, IA Micro Area",0.3,2.2,0.5,87.5,1.2,8.3,32380
"Massena-Ogdensburg, NY Micro Area",0.2,6.7,0.3,84.2,1.5,7.1,32390
"Mayagüez, PR Metro Area",0.1,2.7,0.7,92.1,0.4,4.1,32420
"Mayfield, KY Micro Area",0.0,1.4,0.1,89.7,1.5,7.4,32460
"McAlester, OK Micro Area",0.1,1.6,0.2,90.1,0.6,7.5,32540
"McAllen-Edinburg-Mission, TX Metro Area",0.1,1.2,0.2,86.2,3.7,8.6,32580
"McComb, MS Micro Area",0.1,1.1,0.4,92.0,2.9,3.6,32620
"McMinnville, TN Micro Area",0.0,1.4,0.0,92.4,0.5,5.6,32660
"McPherson, KS Micro Area",0.7,4.1,0.0,87.9,0.7,6.6,32700
"Meadville, PA Micro Area",0.3,5.5,0.5,85.6,1.0,7.0,32740
"Medford, OR Metro Area",0.8,2.7,0.8,82.1,1.4,12.2,32780
"Memphis, TN-MS-AR Metro Area",0.1,1.0,0.4,88.7,1.1,8.6,32820
"Menomonie, WI Micro Area",0.2,5.5,0.2,84.5,0.7,8.8,32860
"Merced, CA Metro Area",0.3,2.4,0.4,86.8,3.6,6.4,32900
"Meridian, MS Micro Area",0.0,1.6,0.1,90.7,3.3,4.2,32940
"Mexico, MO Micro Area",0.0,2.7,0.0,92.8,1.2,3.2,33020
"Miami, OK Micro Area",0.1,1.9,0.1,93.1,0.8,4.1,33060
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.4,1.6,2.4,80.4,2.2,12.9,33100
"Michigan City-La Porte, IN Metro Area",0.2,1.3,0.9,90.8,0.6,6.4,33140
"Middlesborough, KY Micro Area",0.4,4.4,0.0,91.5,0.3,3.4,33180
"Midland, MI Metro Area",0.3,1.1,0.4,86.6,0.7,10.9,33220
"Midland, TX Metro Area",0.2,1.1,0.3,91.8,1.3,5.2,33260
"Milledgeville, GA Micro Area",0.0,0.7,0.2,90.8,1.7,6.6,33300
"Milwaukee-Waukesha, WI Metro Area",0.3,2.2,2.2,80.9,0.9,13.5,33340
"Minden, LA Micro Area",0.1,1.3,0.5,90.1,1.2,6.9,33380
"Mineral Wells, TX Micro Area",0.1,0.8,0.3,89.9,2.1,6.8,33420
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.5,2.0,2.6,74.8,1.1,19.0,33460
"Minot, ND Metro Area",0.4,1.9,0.1,90.2,1.2,6.2,33500
"Missoula, MT Metro Area",3.1,3.3,1.5,78.3,0.9,12.9,33540
"Mitchell, SD Micro Area",0.4,3.5,0.7,84.4,1.3,9.8,33580
"Moberly, MO Micro Area",0.0,0.8,0.3,90.6,1.9,6.4,33620
"Mobile, AL Metro Area",0.1,1.0,0.4,90.2,0.9,7.5,33660
"Modesto, CA Metro Area",0.4,1.4,0.7,89.6,1.0,6.9,33700
"Monroe, LA Metro Area",0.1,1.7,0.7,90.2,1.0,6.3,33740
"Monroe, MI Metro Area",0.1,1.3,0.2,89.3,0.9,8.2,33780
"Montgomery, AL Metro Area",0.1,1.1,0.3,90.7,0.8,7.1,33860
"Monticello, IN Micro Area",0.0,1.6,0.3,91.6,0.3,6.2,33900
"Monticello, NY Micro Area",0.6,2.8,1.2,82.4,1.3,11.8,33910
"Montrose, CO Micro Area",0.5,2.9,0.1,84.7,1.2,10.5,33940
"Morehead City, NC Micro Area",0.3,1.0,0.3,86.9,1.2,10.3,33980
"Morgan City, LA Micro Area",0.5,1.3,0.0,92.2,0.7,5.2,34020
"Morgantown, WV Metro Area",0.1,4.4,1.1,82.4,1.1,10.8,34060
"Morristown, TN Metro Area",0.2,1.1,0.2,92.7,1.0,4.8,34100
"Moscow, ID Micro Area",0.7,13.1,0.2,74.6,1.5,9.9,34140
"Moses Lake, WA Micro Area",0.2,1.8,1.5,86.2,1.1,9.2,34180
"Moultrie, GA Micro Area",0.0,1.5,3.0,89.6,0.4,5.4,34220
"Mountain Home, AR Micro Area",0.0,1.7,0.0,90.7,1.5,6.1,34260
"Mountain Home, ID Micro Area",0.0,3.4,0.1,91.7,1.6,3.2,34300
"Mount Airy, NC Micro Area",0.1,0.9,0.1,93.0,0.4,5.5,34340
"Mount Pleasant, MI Micro Area",0.7,6.6,0.5,85.3,0.5,6.4,34380
"Mount Pleasant, TX Micro Area",0.1,1.4,0.0,92.2,1.8,4.4,34420
"Mount Sterling, KY Micro Area",0.0,0.8,0.0,91.8,0.7,6.5,34460
"Mount Vernon, IL Micro Area",0.0,1.1,0.3,92.6,1.3,4.8,34500
"Mount Vernon, OH Micro Area",0.1,3.7,0.4,83.1,1.3,11.4,34540
"Mount Vernon-Anacortes, WA Metro Area",0.3,2.1,0.6,85.4,0.8,10.8,34580
"Muncie, IN Metro Area",0.6,3.7,1.1,88.0,0.7,6.0,34620
"Murray, KY Micro Area",0.3,7.4,0.1,86.1,0.9,5.3,34660
"Murrells Inlet, SC Micro Area",0.1,1.7,0.3,86.3,2.1,9.6,34680
"Muscatine, IA Micro Area",0.0,2.4,0.4,90.7,0.6,5.9,34700
"Muskegon-Norton Shores, MI Metro Area",0.2,1.2,0.1,91.7,0.8,6.0,34740
"Muskogee, OK Micro Area",0.1,1.2,0.5,90.0,1.4,6.7,34780
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",0.2,0.9,0.5,86.3,2.1,9.9,34820
"Nacogdoches, TX Micro Area",0.2,4.0,0.3,85.9,2.7,6.8,34860
"Nantucket, MA Micro Area",2.7,5.9,0.8,77.5,1.2,11.8,34880
"Napa, CA Metro Area",0.8,3.4,1.2,80.8,1.2,12.5,34900
"Naples-Marco Island, FL Metro Area",0.5,1.0,0.6,81.8,1.9,14.3,34940
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.1,1.1,0.7,80.5,1.2,16.3,34980
"Natchez, MS-LA Micro Area",0.0,1.3,0.3,93.9,1.3,3.3,35020
"Natchitoches, LA Micro Area",0.4,2.4,0.2,92.3,1.2,3.5,35060
"New Bern, NC Micro Area",0.1,1.6,0.2,89.1,2.1,6.8,35100
"Newberry, SC Micro Area",0.2,1.8,0.0,91.9,2.0,4.1,35140
"New Castle, IN Micro Area",0.4,1.4,0.3,89.5,0.4,8.1,35220
"New Haven, CT Metro Area",0.5,4.1,3.1,78.4,1.1,12.7,35300
"New Iberia, LA Micro Area",0.0,1.8,0.3,89.6,2.3,6.0,35340
"New Orleans-Metairie, LA Metro Area",0.9,3.1,2.1,82.7,1.7,9.6,35380
"New Philadelphia-Dover, OH Micro Area",1.0,1.9,0.0,88.2,1.8,7.1,35420
"Newport, OR Micro Area",0.2,3.5,0.5,81.5,0.6,13.5,35440
"Newport, TN Micro Area",0.0,1.3,0.0,91.8,2.0,4.9,35460
"New Ulm, MN Micro Area",0.2,4.1,0.6,87.0,0.4,7.6,35580
"New York-Newark-Jersey City, NY-NJ Metro Area",0.8,5.4,25.1,51.6,2.2,14.9,35620
"Niles, MI Metro Area",0.2,2.7,0.3,85.6,1.0,10.2,35660
"Nogales, AZ Micro Area",0.5,1.3,0.7,89.5,1.7,6.3,35700
"Norfolk, NE Micro Area",0.2,2.3,0.2,89.8,1.0,6.5,35740
"North Platte, NE Micro Area",0.7,2.6,0.9,91.2,0.8,3.9,35820
"North Port-Bradenton-Sarasota, FL Metro Area",0.5,1.2,0.5,81.1,1.6,15.1,35840
"North Wilkesboro, NC Micro Area",0.0,1.1,0.2,90.3,0.3,8.1,35900
"Norwalk, OH Micro Area",0.2,1.7,0.3,91.8,1.0,4.9,35940
"Norwich-New London-Willimantic, CT Metro Area",0.2,2.8,1.3,83.9,1.2,10.6,35980
"Oak Harbor, WA Micro Area",0.4,3.3,1.9,79.6,1.0,13.8,36020
"Ocala, FL Metro Area",0.3,0.6,0.1,87.7,1.1,10.1,36100
"Ocean Pines, MD Micro Area",1.0,2.4,0.6,83.6,1.0,11.5,36180
"Odessa, TX Metro Area",0.1,1.0,0.2,93.7,1.3,3.6,36220
"Ogden, UT Metro Area",0.3,1.1,1.2,81.3,0.8,15.3,36260
"Oil City, PA Micro Area",0.0,2.3,0.4,88.2,0.6,8.5,36340
"Okeechobee, FL Micro Area",0.9,2.0,0.8,86.7,2.7,6.8,36380
"Oklahoma City, OK Metro Area",0.2,1.6,0.3,87.1,1.3,9.5,36420
"Olean, NY Micro Area",0.3,4.9,0.4,85.4,1.4,7.6,36460
"Olympia-Lacey-Tumwater, WA Metro Area",0.5,2.2,1.4,77.4,1.4,17.3,36500
"Omaha, NE-IA Metro Area",0.1,1.5,0.7,83.6,1.1,13.0,36540
"Oneonta, NY Micro Area",0.2,7.2,0.8,81.6,0.7,9.5,36580
"Ontario, OR-ID Micro Area",0.3,3.6,0.1,88.1,1.1,6.8,36620
"Opelousas, LA Micro Area",0.2,2.3,0.4,89.4,1.9,5.9,36660
"Orangeburg, SC Micro Area",0.1,1.1,0.1,90.8,1.4,6.6,36700
"Orlando-Kissimmee-Sanford, FL Metro Area",0.3,1.2,1.1,80.0,1.8,15.6,36740
"Oshkosh-Neenah, WI Metro Area",0.7,2.2,0.6,85.4,0.7,10.4,36780
"Oskaloosa, IA Micro Area",0.0,3.7,0.1,89.6,0.3,6.3,36820
"Othello, WA Micro Area",0.1,3.1,0.5,89.5,2.1,4.7,36830
"Ottawa, IL Micro Area",0.4,1.9,0.1,92.0,1.0,4.6,36837
"Ottawa, KS Micro Area",0.0,2.0,0.1,85.9,2.7,9.3,36840
