NAME,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area
"Bay City, MI Metro Area",0.5,1.4,0.3,89.6,0.7,7.4,13020
"Bay City, TX Micro Area",0.9,0.5,0.4,93.0,0.7,4.5,13060
"Beatrice, NE Micro Area",0.0,2.2,0.0,90.9,0.9,6.0,13100
"Beaumont-Port Arthur, TX Metro Area",0.2,0.9,0.3,94.3,0.9,3.4,13140
"Beaver Dam, WI Micro Area",0.2,2.9,0.0,88.5,0.9,7.6,13180
"Beckley, WV Metro Area",0.0,1.7,0.1,90.4,1.3,6.5,13220
"Bedford, IN Micro Area",0.0,2.2,0.0,91.5,0.7,5.6,13260
"Beeville, TX Micro Area",0.0,1.3,0.0,91.0,1.7,5.9,13300
"Bellefontaine, OH Micro Area",0.0,2.0,0.2,88.7,1.3,7.9,13340
"Bellingham, WA Metro Area",1.9,3.4,1.9,78.3,1.1,13.3,13380
"Bemidji, MN Micro Area",0.4,2.9,1.4,86.4,0.8,8.1,13420
"Bend, OR Metro Area",1.2,2.2,0.3,76.5,1.2,18.6,13460
"Bennington, VT Micro Area",0.2,4.0,0.3,80.1,1.2,14.2,13540
"Big Rapids, MI Micro Area",0.2,5.0,0.5,86.2,1.4,6.7,13660
"Big Spring, TX Micro Area",0.1,0.9,0.0,94.8,0.4,3.8,13700
"Billings, MT Metro Area",0.5,2.3,1.0,87.0,1.0,8.2,13740
"Binghamton, NY Metro Area",0.6,3.6,2.3,83.7,1.4,8.4,13780
"Birmingham, AL Metro Area",0.1,1.2,0.3,87.1,1.0,10.2,13820
"Bishop, CA Micro Area",2.7,5.6,1.0,77.6,0.8,12.4,13860
"Bismarck, ND Metro Area",0.2,1.7,0.1,89.0,0.8,8.1,13900
"Blackfoot, ID Micro Area",0.0,1.5,1.4,90.7,0.5,5.9,13940
"Blacksburg-Christiansburg-Radford, VA Metro Area",0.7,4.2,2.0,82.3,1.1,9.7,13980
"Bloomington, IL Metro Area",0.3,4.1,0.8,78.3,0.7,15.8,14010
"Bloomington, IN Metro Area",1.0,5.8,1.9,76.7,0.9,13.8,14020
"Bloomsburg-Berwick, PA Micro Area",0.0,3.1,0.3,85.6,0.6,10.3,14100
"Bluefield, WV-VA Micro Area",0.0,1.8,0.4,90.1,1.6,6.2,14140
"Blytheville, AR Micro Area",0.0,0.9,0.1,94.8,1.1,3.2,14180
"Bogalusa, LA Micro Area",0.1,1.5,0.4,86.4,7.7,3.9,14220
"Boise City, ID Metro Area",1.1,2.2,0.3,80.0,1.3,15.1,14260
"Bonham, TX Micro Area",0.1,1.5,0.0,84.2,1.3,12.9,14300
"Boone, NC Micro Area",0.1,3.9,1.2,84.6,0.8,9.6,14380
"Borger, TX Micro Area",0.3,1.9,1.0,92.9,1.1,2.7,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",1.0,4.7,9.0,64.9,1.7,18.7,14460
"Boulder, CO Metro Area",3.0,3.8,3.1,61.3,0.9,27.9,14500
"Bowling Green, KY Metro Area",0.1,2.9,0.2,89.6,0.9,6.4,14540
"Bozeman, MT Metro Area",2.0,5.4,0.5,76.1,1.0,14.9,14580
"Bradford, PA Micro Area",0.3,4.6,1.3,88.0,1.0,4.7,14620
"Brainerd, MN Micro Area",0.3,2.2,0.4,84.5,1.4,11.2,14660
"Branson, MO Micro Area",0.1,2.0,0.2,86.7,1.1,9.8,14700
"Brattleboro, VT Micro Area",0.3,5.2,0.5,76.3,0.6,17.1,14710
"Breckenridge, CO Micro Area",2.1,3.8,3.7,71.4,0.5,18.6,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.5,4.5,6.3,73.9,1.6,13.2,14740
"Brenham, TX Micro Area",0.7,3.7,0.0,85.4,2.2,8.1,14780
"Brevard, NC Micro Area",0.7,2.3,0.4,85.5,0.4,10.7,14820
"Bridgeport-Stamford-Danbury, CT Metro Area",0.1,2.6,6.9,71.5,1.6,17.2,14860
"Brigham City, UT-ID Micro Area",0.0,1.4,0.4,86.8,1.1,10.2,14940
"Brookhaven, MS Micro Area",0.0,1.6,0.0,93.6,1.8,3.0,15020
"Brookings, OR Micro Area",0.2,2.4,0.5,76.6,1.5,18.8,15060
"Brookings, SD Micro Area",0.9,3.4,0.6,83.7,0.5,10.9,15100
"Brownsville-Harlingen, TX Metro Area",0.1,1.7,0.5,88.4,1.2,8.1,15180
"Brownwood, TX Micro Area",0.4,1.3,0.7,92.3,0.7,4.7,15220
"Brunswick-St. Simons, GA Metro Area",0.2,0.9,0.2,88.4,1.8,8.5,15260
"Bucyrus, OH Micro Area",0.0,1.6,0.1,90.7,2.0,5.5,15340
"Buffalo-Cheektowaga, NY Metro Area",0.3,2.4,2.6,82.4,1.3,11.0,15380
"Burley, ID Micro Area",0.1,1.0,0.1,90.6,1.7,6.6,15420
"Burlington, IA-IL Micro Area",0.1,1.7,0.6,92.1,1.0,4.5,15460
"Burlington, NC Metro Area",0.0,1.4,0.1,88.5,0.8,9.2,15500
"Burlington-South Burlington, VT Metro Area",1.4,4.9,1.6,74.9,0.7,16.6,15540
"Butte-Silver Bow, MT Micro Area",0.0,2.7,0.9,87.9,1.3,7.1,15580
"Cadillac, MI Micro Area",0.6,3.2,0.4,89.2,0.9,5.7,15620
"Calhoun, GA Micro Area",0.3,0.6,0.1,89.6,1.8,7.6,15660
"Cambridge, MD Micro Area",0.4,1.4,0.3,90.7,0.6,6.7,15700
"Cambridge, OH Micro Area",0.0,0.8,0.1,94.0,1.3,3.8,15740
"Camden, AR Micro Area",0.1,1.6,0.0,94.3,0.9,3.1,15780
"Campbellsville, KY Micro Area",0.0,2.1,0.5,85.9,1.6,9.9,15820
"Cañon City, CO Micro Area",1.0,3.5,0.1,82.5,0.7,12.3,15860
"Canton, IL Micro Area",0.2,2.4,0.1,91.2,1.0,5.0,15900
"Canton-Massillon, OH Metro Area",0.1,1.6,0.9,85.8,1.4,10.3,15940
"Cape Coral-Fort Myers, FL Metro Area",0.6,1.1,0.5,82.2,1.8,13.8,15980
"Cape Girardeau, MO-IL Metro Area",0.1,1.3,0.2,89.5,1.2,7.7,16020
"Carbondale, IL Micro Area",0.4,5.4,1.1,82.7,1.6,8.7,16060
