NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Bloomington, IN Metro Area",14020,7191,21494,44.03204245321234,4423,24.868346431175564,6.40646520294904,24.69314591266305,98744,5203,5,1261,1719,1247,0,4,0,26,61,171,727,508,19353,0,15165,597,0,2397,12104,5088
"Bloomsburg-Berwick, PA Micro Area",14100,3580,6599,24.877959760937998,674,44.83553081801177,8.191523335918609,22.09498608513162,43838,1688,0,795,675,591,0,0,1,6,40,45,442,544,17967,8,3209,438,6,424,4129,1977
"Bluefield, WV-VA Micro Area",14140,6290,8698,18.91891891891892,575,39.65990048626032,13.103584756304421,28.31759583851634,70744,5421,80,1863,1609,836,47,123,59,223,278,604,1231,1443,22636,0,3661,867,7,450,9063,4680
"Blytheville, AR Micro Area",14180,2074,2442,14.178269757395764,79,42.4653835769661,14.390403826127205,28.965942839510934,25927,2233,32,642,700,561,1,24,41,45,130,271,248,513,8777,33,1002,490,0,153,3423,2013
"Bogalusa, LA Micro Area",14220,1834,2632,12.71044314003741,30,45.429916790298655,15.913049087273432,25.946590982390504,31006,3012,30,481,1206,839,40,16,16,120,69,238,577,846,11074,0,1101,449,7,178,4406,1805
"Boise City, ID Metro Area",14260,45959,129077,36.603302318845486,7404,23.30882643359721,7.48090511898918,32.60696612856812,531687,24194,126,4822,6135,9723,473,541,324,551,3509,871,2404,3280,99736,202,47050,6814,0,11084,86171,41237
"Bonham, TX Micro Area",14300,1648,3486,20.166279969064192,223,35.56844547563805,13.232791956689868,31.032482598607892,25860,2118,4,513,544,417,0,16,0,97,133,183,420,794,7080,0,1331,301,0,175,3872,2505
"Boone, NC Micro Area",14380,2185,8049,47.66468985414329,1517,20.753325853502165,7.555698028530212,24.026286263824332,31195,1033,0,510,483,221,1,0,2,77,105,138,393,206,5441,0,4406,221,0,897,3495,1815
"Borger, TX Micro Area",14420,1212,1605,15.954033281098425,8,32.027460637265875,14.17058428475487,37.847921796880826,13401,1049,6,329,208,308,0,57,49,34,184,10,78,266,3243,0,460,370,0,65,2527,1333
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,242929,956390,51.22774338842749,130069,20.77619003419905,7.697847163771822,20.298219413601633,3479921,84835,1460,28609,25982,49460,3553,6225,5946,9117,15932,9636,23686,24103,638160,1214,571007,61985,971,125219,306000,157433
"Boulder, CO Metro Area",14500,13326,75524,63.90899548172151,12256,11.020948382091188,4.47400848888686,20.59604764730044,219110,4111,111,814,1002,2383,9,231,147,232,874,135,933,694,20037,0,43882,2186,52,8369,22349,9453
"Bowling Green, KY Metro Area",14540,10270,19870,27.789044917379062,1532,31.407080327574256,12.471439940441044,28.332434814605634,116859,6884,21,2072,2295,1748,55,336,99,156,791,845,2074,1325,29818,26,8870,2715,16,2202,15143,7696
"Bozeman, MT Metro Area",14580,5387,26317,53.14217141413503,3163,18.174698414703467,2.8358491757721214,25.847280995389376,79165,1922,0,252,496,555,0,0,3,48,121,40,58,136,12466,0,9791,526,10,2799,10791,4284
"Bradford, PA Micro Area",14620,2992,3621,20.347576753619133,259,46.82145604587733,7.486537520106301,25.34442968039723,28598,1992,25,303,453,456,0,0,56,48,7,67,191,154,11398,0,1711,381,0,228,2446,1810
"Brainerd, MN Micro Area",14660,9756,13399,27.582685097095528,511,29.41266998712855,5.471766746880072,37.532878168895856,71476,2811,23,613,1072,1008,0,6,8,0,54,61,324,430,18212,0,4567,307,5,1238,10956,6115
"Branson, MO Micro Area",14700,3343,6579,25.378670788253476,427,33.23029366306028,9.2967542503864,32.09428129829985,38820,2431,0,520,627,1055,8,133,33,4,109,24,381,317,10469,35,2231,348,15,615,5571,3545
"Brattleboro, VT Micro Area",14710,2317,7673,42.35448961684703,754,28.566832407136587,5.18280198888564,23.89587598713074,34190,1237,0,354,586,365,0,0,0,0,18,5,125,177,8530,0,5122,136,6,932,4047,1806
"Breckenridge, CO Micro Area",14720,1737,9207,51.331644529645345,496,18.013145282760508,5.600438176092017,25.054772011502124,29212,759,0,62,250,287,0,22,30,198,51,45,204,289,4503,0,3923,198,0,1369,3542,2040
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14740,22154,45717,36.52506821976948,2519,21.05801735022197,4.686290880951411,37.73062354905714,196424,6670,69,1109,1692,2626,75,71,41,56,457,168,516,984,34693,0,18919,1316,25,4589,34012,17946
"Brenham, TX Micro Area",14780,2114,5183,31.00223622687538,242,28.32282984346412,9.615775564139053,31.05915836552145,24595,936,0,257,336,433,0,89,5,143,156,50,117,236,6030,0,1663,498,45,537,3480,2045
"Brevard, NC Micro Area",14820,2406,6111,38.64019112521051,386,23.851486311831746,6.168487839266831,31.339834723690913,25533,1147,0,435,262,138,15,55,0,9,25,15,222,243,4943,0,2731,156,0,638,3914,1682
"Bridgeport-Stamford-Danbury, CT Metro Area",14860,38162,181451,50.53265747685345,12189,20.315756477595052,9.809705115560755,19.341880929990747,653985,16127,533,6408,6344,11239,610,1940,1400,2852,6505,1720,6097,5375,116735,279,107600,12715,137,29236,59212,29119
"Brigham City, UT-ID Micro Area",14940,3490,7302,26.67077935430804,245,32.24347110836932,7.292309274110631,33.79344026321201,38904,1515,0,284,527,611,1,107,0,0,168,23,166,443,11029,0,2501,500,7,328,6295,3362
"Brookhaven, MS Micro Area",15020,2924,2918,18.40723453908985,40,36.68528088014669,12.947991331888648,31.959493248874814,23996,1794,0,670,941,331,0,22,40,124,52,124,237,370,7009,0,1260,196,0,199,3644,1101
"Brookings, OR Micro Area",15060,1644,2802,24.18321088010005,417,27.03871606482205,9.441925902766922,39.33614715231098,19191,749,0,317,408,439,0,75,45,0,116,0,18,256,4440,0,1257,122,16,165,4193,1712
"Brookings, SD Micro Area",15100,2050,5558,43.96619600020996,654,23.064406067922942,3.2806676814865363,29.68873025038056,19051,438,0,125,130,82,8,13,0,0,17,5,100,63,3956,0,1618,82,0,546,2523,1083
"Brownsville-Harlingen, TX Metro Area",15180,19069,35367,20.558113905616562,1340,26.063289644586135,28.357932853150707,25.020663596646592,254070,12206,526,5268,6311,7422,1637,2474,1707,2572,11369,2740,4986,12467,54013,230,12773,12306,34,2752,30884,13617
"Brownwood, TX Micro Area",15220,1832,3809,19.937029124030136,222,35.526069192998236,12.256831215562801,32.28007046740882,26679,2103,0,287,495,736,3,100,37,164,263,94,177,625,7375,0,1189,289,0,99,4871,1909
"Brunswick-St. Simons, GA Metro Area",15260,7747,12781,26.164144708765686,912,31.309670418104446,12.519966346798677,30.006218526331192,82013,5313,0,1662,2369,1579,77,92,11,47,424,257,724,1366,20365,0,5857,1612,48,1908,10888,5974
"Bucyrus, OH Micro Area",15340,3260,2800,15.503928705057996,224,46.11041191877275,9.500323140242866,28.88533623592639,29399,1702,0,548,647,537,4,0,5,13,70,31,270,297,11854,0,1368,371,0,166,2846,2386
