NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Decatur, IL Metro Area",19500,6226,11341,24.12657118215109,574,37.54011904930225,6.950669475589237,31.382640292957426,70727,3938,6,934,1136,1077,1,35,16,34,90,120,324,506,22613,12,4554,624,1,595,10093,5877
"Decatur, IN Micro Area",19540,2341,2357,15.231818814684178,103,45.65832830556458,13.031976609272752,26.07787627047849,21547,1285,0,120,204,318,42,12,15,0,40,8,1574,161,8553,0,728,314,0,94,2233,1045
"Defiance, OH Micro Area",19580,3020,3442,20.116972389958605,30,39.360449660096464,7.682959249553758,32.83961870039118,26331,1146,0,285,421,441,38,0,26,20,57,10,213,331,9218,19,1575,162,0,250,3304,2323
"Del Rio, TX Micro Area",19620,2278,3729,21.332229466349308,182,29.794059815792195,24.93014591741695,23.943564800441546,28989,2365,0,636,1060,764,87,230,73,219,830,287,458,571,6272,0,1740,2012,0,533,2870,1793
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",19660,60348,94056,27.778024485887116,5862,30.549822273623324,7.850852719763829,33.821300520725735,517931,26491,69,6491,7579,7673,43,224,290,573,1386,1274,3316,4615,131736,43,35099,6773,313,8854,65376,49447
"Deming, NM Micro Area",19700,880,1672,14.726550565230676,13,35.062633669416435,24.094103269172013,26.11671249618087,16365,981,5,339,394,286,101,253,102,100,604,122,389,860,4757,0,565,388,0,160,2470,924
"Denver-Aurora-Centennial, CO Metro Area",19740,154303,636282,48.37939266624831,40376,18.361709158190738,7.696611184699814,25.56228699086114,2100262,73886,409,16042,22997,31686,1162,2719,1619,2796,15035,3756,9818,18396,311758,527,279049,34476,211,60387,265184,117388
"DeRidder, LA Micro Area",19760,2209,2910,17.83293867886013,38,40.70792847227892,12.766391769412918,28.692741079448027,24494,1970,0,442,869,313,0,21,5,5,67,382,351,413,8001,0,1308,259,0,112,2942,1877
"Des Moines-West Des Moines, IA Metro Area",19780,50019,127163,39.096404312332524,7226,24.956066554496168,6.531646621383021,29.41588251178829,481410,18071,161,3909,4483,5263,194,582,708,719,1750,1027,2535,3071,102070,33,43549,6942,67,10276,59587,32005
"Detroit Lakes, MN Micro Area",19810,3454,4594,27.537655533726262,145,28.89652914210871,6.6838572364112645,36.881958087753766,24432,951,0,205,263,500,11,0,1,0,30,57,243,108,6109,4,1612,207,4,377,3565,1992
"Detroit-Warren-Dearborn, MI Metro Area",19820,281108,624435,34.05581464644386,34692,25.992697100207728,8.79536786005302,31.156120393295396,3060702,111810,536,41169,54332,58963,941,1891,2225,5063,9071,5078,15944,24640,683749,594,316393,48293,460,66827,449974,222514
"Dickinson, ND Micro Area",19860,2913,4999,26.56356698132155,219,30.560353484635467,8.539867443261699,34.33621209078128,24895,1153,8,306,284,525,0,0,9,0,29,54,594,120,6455,0,1155,195,2,240,4229,1406
"Dixon, IL Micro Area",19940,2324,3089,19.35342071611253,186,37.24824168797954,9.514865728900256,33.88347186700768,25024,1900,0,550,669,298,45,0,5,18,29,16,182,291,7421,7,1170,263,8,398,3988,2167
"Dodge City, KS Micro Area",19980,1881,2862,20.71382412884625,69,27.966396580006958,23.045185663866384,28.27459362728041,20117,869,42,375,238,566,137,188,150,40,695,172,282,634,4757,0,1024,1114,3,212,2187,1620
"Dothan, AL Metro Area",20020,10421,14279,20.9491340258615,612,33.06429587214285,13.967658997372412,32.018911104623236,106181,6418,17,2653,2663,2669,41,218,82,118,637,550,1484,2132,28690,89,6025,1472,6,1328,16265,7312
"Douglas, GA Micro Area",20060,2820,2725,12.917933130699089,225,38.788870703764324,21.638999298573765,26.654196866962828,34216,2932,20,1324,1202,826,260,101,113,127,600,180,654,1112,10340,0,1067,885,0,403,4894,1406
"Dover, DE Metro Area",20100,11010,20394,26.73821258287714,1209,33.650126021415616,9.804787208424973,29.806874187282272,124582,6553,0,2023,2109,2905,85,41,58,149,220,234,1860,887,35369,27,10270,1546,71,1438,16779,9345
"Dublin, GA Micro Area",20140,3340,3413,16.335722106101326,253,40.718622474370456,15.733552304170399,27.212103115357817,40188,2716,4,1432,1592,875,36,46,12,54,323,130,235,1108,13648,0,2437,473,3,462,5081,2515
"DuBois, PA Micro Area",20180,6089,7882,20.057063279100575,325,46.479399476919944,9.566590808736116,23.89694643524337,58882,3353,0,1189,1145,884,13,3,3,42,35,151,700,663,24015,3,2989,655,147,614,4868,3114
"Dubuque, IA Metro Area",20220,7227,14411,32.86459037574556,725,32.52505220774928,5.9253917459172785,28.684965670587882,66561,2373,0,816,850,662,87,18,27,6,107,87,421,325,19276,0,5741,538,0,998,7915,3951
"Duluth, MN-WI Metro Area",20260,26931,39451,30.80476550217449,2762,26.668640382220225,5.265736978581783,37.2608571370235,195908,7543,24,1848,2369,2257,8,2,13,126,99,262,927,831,44703,33,14635,1421,96,3501,31466,14600
"Dumas, TX Micro Area",20300,910,1132,12.045599489795919,32,34.94100765306122,29.807079081632654,23.206313775510203,12544,353,10,369,239,399,95,97,102,67,964,133,381,237,4030,0,333,646,0,14,1235,766
"Duncan, OK Micro Area",20340,1598,3893,19.490428955313007,150,40.769001094781544,11.694257373187805,28.046312576717646,30143,1721,5,564,946,594,67,92,19,26,174,75,249,361,10568,6,1690,332,15,142,4284,2572
"Durango, CO Micro Area",20420,3387,12097,47.259687171076784,955,21.01192078917093,3.5958191564878956,28.13257288326439,40853,1355,0,344,403,262,0,20,21,5,88,18,138,65,7229,0,5069,105,0,1186,6005,2101
"Durant, OK Micro Area",20460,1803,5226,24.38776482546136,274,34.34551980433885,12.355874598989931,28.910840771209863,31483,1890,3,679,907,431,18,33,47,77,177,198,388,626,8923,0,1945,306,0,233,4522,2777
"Durham-Chapel Hill, NC Metro Area",20500,30721,107279,52.336921169871985,22990,16.96780765596043,8.87124289694277,21.824028277224805,407395,10945,205,5343,4406,4474,930,1177,365,1300,3384,908,3325,3969,58181,83,63329,6238,34,19620,42181,16008
"Dyersburg, TN Micro Area",20540,1865,3337,21.64277442798387,321,40.63410933194905,10.841352873058339,26.881763367008745,25043,2748,0,521,713,258,0,14,73,14,33,170,339,359,7428,0,1293,198,23,469,3001,1866
"Eagle Pass, TX Metro Area",20580,2198,3794,15.327175673244167,45,28.354225394350145,32.27373598032748,24.044862952078212,33346,2328,146,767,1017,1405,173,401,117,254,1713,510,797,1681,7127,6,845,1755,20,427,3710,2110
"Easton, MD Micro Area",20660,2112,6614,41.3258505787443,658,23.535601543318137,8.032269379165205,27.10627849877236,28510,759,0,366,385,523,0,25,11,18,80,33,271,316,5951,0,3199,253,9,1311,3535,2081
"East Stroudsburg, PA Micro Area",20700,10025,20846,27.879709043534906,1141,35.46428601254353,9.684073390511346,26.971931553410222,119743,5978,0,1603,2005,3773,18,0,154,76,292,279,932,981,36488,31,10163,1432,20,1234,13840,8432
"Eau Claire, WI Metro Area",20740,17405,24425,30.923705181002703,1522,29.277284225612338,5.030778661279322,34.76823193210564,115827,3588,0,652,1220,1426,0,81,0,77,79,28,950,479,30323,19,7903,807,9,1968,15167,7699
"Edwards, CO Micro Area",20780,4280,13541,50.26926834155749,483,17.726623750720137,6.833153821105628,25.17095408661674,39923,955,177,363,134,663,0,0,0,0,616,89,279,140,6122,0,4735,267,0,1310,3629,2140
"Effingham, IL Micro Area",20820,4720,5154,24.269931515699703,142,33.26980230003876,6.673988887453159,35.78627729680837,30956,1257,32,440,344,227,5,0,9,33,260,26,327,217,9042,0,1641,146,0,576,3913,2445
"El Campo, TX Micro Area",20900,3036,3900,19.225469577199217,77,31.343824787874393,16.056276742330844,33.374428892595546,27578,1459,111,441,467,583,85,151,39,224,598,115,312,785,7185,9,1081,508,0,244,3932,2236
"El Centro, CA Metro Area",20940,8600,12731,16.100269483279376,427,25.885768027346224,28.152863938073104,29.861098551301296,110582,4588,179,2950,3657,3188,502,1200,543,563,4405,733,2455,5734,24037,103,3439,4920,0,1207,18373,6048
"El Dorado, AR Micro Area",20980,2025,3278,18.91933145081279,67,40.09005571243227,12.043043577806609,28.94756925894833,26206,1526,0,766,667,611,0,0,0,33,82,145,260,387,8980,0,1326,175,30,287,4084,1477
"Elizabeth City, NC Micro Area",21020,2970,4978,26.855489677834132,261,28.352025144653187,10.000714336738339,34.79177084077434,27998,1827,0,470,612,348,1,35,0,0,70,61,241,515,6111,0,1789,447,0,491,4912,1859
"Elizabethtown, KY Metro Area",21060,8920,11977,23.336435277349132,381,31.3795012545204,8.375248842660762,36.90881462546971,84893,4991,11,1760,1043,1062,12,105,27,93,188,325,661,1068,21648,0,6368,743,12,1085,13641,8772
"Elk City, OK Micro Area",21120,1265,1299,13.2888389612106,81,41.96788475517082,15.687570210797594,29.055706072820985,15133,1542,0,524,536,214,0,19,0,50,35,97,276,446,4809,0,576,170,7,55,1870,1262
"Elkhart-Goshen, IN Metro Area",21140,8859,16723,19.731802230903906,863,36.91159718346471,17.79906574209283,25.55753484353856,130799,8323,253,2598,3065,2994,23,84,113,182,993,120,7531,2592,39957,25,6708,2701,7,1515,15462,9108
"Elkins, WV Micro Area",21180,966,2675,18.96196824152127,139,49.18153303273868,12.227994510880219,19.62850421485983,20404,1693,0,569,561,238,3,57,0,41,39,184,320,312,8342,0,930,171,0,125,1996,1043
"Elko, NV Micro Area",21220,3858,3995,17.55600476282779,304,32.990889707307616,12.530113809431507,36.92299172043308,36113,1921,0,619,660,986,4,0,100,63,511,47,191,245,9993,0,1703,1091,8,338,5628,3848
"Ellensburg, WA Micro Area",21260,2528,6588,35.254133078289385,521,27.15193332422462,6.940838912419729,30.653094685066268,29276,1521,8,315,479,538,9,13,18,0,88,16,55,329,6428,0,2639,148,16,573,4170,2276
"Elmira, NY Metro Area",21300,7936,8778,26.88530760281941,573,32.94155888592349,9.11517142270581,31.05796208855129,58452,3742,0,1172,1036,1270,15,9,20,92,101,67,457,496,15513,0,5618,591,2,746,6189,4029
"El Paso, TX Metro Area",21340,50279,93069,25.309089440950473,4736,24.8937892154074,19.435793630839758,30.361327712802368,544907,34299,608,7431,7896,15460,1767,3988,2429,3545,18861,3027,8099,12333,101349,184,33461,20127,152,6645,80492,34670
"Emporia, KS Micro Area",21380,1606,3428,27.851247420746578,272,33.29581691990246,10.52804351903958,28.324892140311388,21324,1032,34,241,407,141,5,147,49,124,171,59,275,217,6068,7,1987,368,0,252,2647,1787
"Enid, OK Metro Area",21420,3332,6251,22.301160977300295,180,36.76510631977622,12.47617397331485,28.457558729608635,40397,2369,3,677,1064,1238,16,108,14,74,165,91,319,554,12483,0,2178,717,0,400,5637,2527
"Enterprise, AL Micro Area",21460,4721,4497,21.528831562974204,366,29.080858443529156,13.97680468241925,35.413505311077394,36904,1932,24,1047,1191,674,8,57,10,116,264,250,351,568,8800,0,2525,596,2,557,5563,2785
"Erie, PA Metro Area",21500,18630,34597,29.627087009455565,2489,37.51870464626095,7.418034765166183,25.4361735791173,186451,8641,1,2625,3010,2629,134,17,151,92,300,545,756,1526,61313,0,15198,2030,15,2956,17883,10913
"Escanaba, MI Micro Area",21540,4017,3905,20.01762049851327,105,35.11618516207188,7.565801549135494,37.30039279027936,27241,954,0,431,390,608,0,1,5,9,16,50,134,246,8612,11,1225,160,0,218,3824,2320
"Española, NM Micro Area",21580,2305,3019,18.82830168359838,236,33.47453063861866,13.612377499371792,34.084790178411176,27857,1343,0,620,947,309,30,13,92,56,252,150,547,535,7982,0,1910,241,0,80,5638,1552
"Eufaula, AL-GA Micro Area",21640,1659,1259,11.258657501432069,100,38.556475550695204,21.824714888298704,28.360152059574023,19203,1519,33,1058,780,639,49,92,21,43,125,167,458,403,5885,0,610,239,84,193,2611,1176
"Eugene-Springfield, OR Metro Area",21660,26542,52544,33.43287608613383,5566,22.811901666248264,6.857209230872992,36.89801301674491,266887,12053,49,2866,3802,4539,196,46,103,227,1101,411,1052,1471,48829,0,24968,2370,68,6150,47777,24157
"Eureka-Arcata, CA Micro Area",21700,9089,19521,32.085138242686774,1371,23.23760628910637,8.481736991282956,36.1955184769239,93495,2998,0,1097,1776,2043,43,254,32,83,453,28,475,634,18728,0,6898,998,14,2208,16714,8038
"Evanston, WY-UT Micro Area",21740,1860,2330,21.655880979384882,105,34.25845620121422,5.297217959837214,38.78844485956368,14989,1008,0,116,175,100,3,4,22,2,50,40,113,61,4127,0,668,108,0,143,2427,1527
"Evansville, IN Metro Area",21780,21219,34757,28.932854296562425,1418,31.925760041244423,7.454606969662795,31.686778692530353,186207,9500,0,2572,3144,3084,2,22,60,116,455,196,1225,1557,49948,4,14736,1425,19,2964,25261,12523
"Fairbanks-College, AK Metro Area",21820,6200,12151,33.70856274609113,1367,25.562435669122813,5.11869557403565,35.610306010750406,61207,3055,8,361,799,721,0,70,33,99,24,112,232,230,12591,0,6173,444,0,941,10658,4938
"Fairmont, MN Micro Area",21860,1940,2182,23.78920418177939,164,34.0871915226513,5.32679041319963,36.796813882369676,14061,552,12,75,195,187,0,6,0,0,93,9,72,23,4241,8,750,51,18,249,1921,1313
"Fairmont, WV Micro Area",21900,3519,6327,25.839272802396447,406,38.52391281892367,7.7703749612643325,27.866439417415556,38724,2114,0,541,562,413,0,3,18,0,29,114,365,576,12804,0,2972,388,0,301,4969,2303
"Fallon, NV Micro Area",21980,2272,2378,18.608322995376113,55,33.20175933235593,7.979023344987031,40.210894327280926,17734,1274,0,290,304,353,1,39,28,41,39,19,74,121,4614,1,648,105,0,219,3132,1727
"Fargo, ND-MN Metro Area",22020,21545,45246,42.21712308155281,3595,19.13243555020564,4.379827465141941,34.27061390309961,159504,5182,0,1078,1120,1699,5,53,2,42,41,36,820,366,25335,44,15401,1677,3,3096,22723,10395
"Faribault-Northfield, MN Micro Area",22060,4828,7825,29.698951665275068,783,32.952964096855,7.022914927173208,30.325169310696726,43116,2305,0,539,404,667,18,74,0,0,81,152,144,190,11903,0,3430,759,0,767,5152,3095
"Farmington, MO Micro Area",22100,4273,4620,15.983763335741912,343,36.83427551324011,13.280486249840608,33.90147490117737,47054,3299,0,1425,1387,807,6,10,15,19,62,251,575,955,14033,0,1990,737,0,568,7221,4458
"Farmington, NM Metro Area",22140,10022,7897,16.6460820639495,499,30.352932370223435,13.554649001334882,39.446336564492185,80157,3530,51,1963,2605,1451,109,162,85,241,344,251,1111,1625,20800,0,4173,863,4,774,16205,5392
"Fayetteville, NC Metro Area",22180,29207,41582,26.362121416843753,2003,26.806369327650238,7.9264472859932935,38.90506196951272,244233,8967,81,3231,3906,3229,76,200,168,208,880,564,1460,2639,56503,46,17829,2549,122,2971,46768,19044
"Fayetteville, TN Micro Area",22190,1981,2850,19.277011540472074,127,43.28280188186095,13.024247054565926,24.41593952310105,24869,1694,0,785,764,459,104,5,16,45,66,133,290,371,9070,0,1585,201,0,232,2833,1258
"Fayetteville-Springdale-Rogers, AR Metro Area",22220,24994,78933,34.96679236709328,5000,28.989141367262288,11.001327197009788,25.04273906863465,360911,16216,120,4741,4244,5623,612,1302,912,945,4137,1924,3917,5165,88409,55,35320,5999,9,6946,45991,19397
"Fergus Falls, MN Micro Area",22260,7026,8019,27.369371873262928,419,28.108208263850287,6.033444506207152,38.48897535667964,43176,1173,29,357,556,494,3,33,8,0,34,13,380,215,10963,1,2562,482,0,817,6710,2882
"Findlay, OH Micro Area",22300,5034,9485,29.732306135948015,529,35.720399984436405,5.0931870355239095,29.454106844091672,51402,2153,6,377,784,466,26,0,0,2,41,18,197,359,16208,0,4685,331,11,584,6254,3852
"Fitzgerald, GA Micro Area",22340,1108,917,12.107975888879183,19,48.76386826242683,15.724644011531405,23.403511837162576,11447,720,0,422,279,290,0,0,0,0,121,79,167,305,4862,0,374,137,0,76,1275,296
"Flagstaff, AZ Metro Area",22380,7509,20482,39.61938901319695,2474,21.41536143202886,8.02548061555322,30.93976893922097,87596,2240,66,1192,1376,1045,28,62,75,195,432,210,628,772,16519,21,9806,920,8,1943,15066,4527
"Flint, MI Metro Area",22420,31060,41695,22.838229209764172,1638,31.55486282510379,9.10861284293724,36.4982951221948,280372,12557,21,5512,5984,5428,19,119,280,300,315,489,1349,2536,75914,45,17155,3137,4,3544,49237,22034
"Florence, SC Metro Area",22500,15112,18913,22.39133476183113,1489,34.39366159329048,12.65325056882193,30.561753076056462,135807,5503,44,3627,4047,3480,51,390,142,309,486,467,961,1412,41206,31,8722,1721,16,1285,17190,9203
"Florence-Muscle Shoals, AL Metro Area",22520,9331,15955,24.448347165963234,1285,33.971617143019,11.374859549235666,30.205176141782097,105909,5819,57,2167,2565,1906,0,80,63,68,199,651,1014,2133,30160,17,7079,1119,8,1574,15947,6712
"Fond du Lac, WI Metro Area",22540,9485,10972,22.61084081408895,513,37.26444185568423,6.989652573151512,33.13506475707531,72965,2998,3,794,1066,1304,11,103,16,2,76,19,486,599,24192,2,4183,617,2,830,9486,5206
"Forest City, NC Micro Area",22580,5508,6265,20.684160203973228,327,31.08467013704451,13.402740890258153,34.82842876872411,47065,2951,0,1343,951,849,0,107,112,0,115,347,664,1102,11679,0,2784,718,0,359,7365,3519
"Forrest City, AR Micro Area",22620,1088,1179,12.903425633401474,75,44.18013999876108,14.315802515021991,28.60063185281546,16143,1707,5,487,496,218,0,22,15,60,120,78,147,414,5425,0,753,249,0,76,2569,960
"Fort Collins-Loveland, CO Metro Area",22660,21492,75554,51.738040843447116,7527,16.816442379075426,3.357546275978327,28.087970501499125,243809,7105,0,958,1527,1835,10,47,161,43,686,110,640,994,33895,0,36357,1163,12,6704,33646,13343
"Fort Dodge, IA Micro Area",22700,3499,3809,20.51137507549829,167,32.583048117576006,7.678679283269579,39.22689752365613,24835,1193,5,253,603,354,0,0,4,17,22,12,101,239,6899,40,810,257,0,308,4014,2229
"Fort Leonard Wood, MO Micro Area",22780,3761,5264,27.896543520375218,386,30.904394521292865,5.947727967916256,35.25133399041566,29423,1611,0,365,298,268,2,0,0,38,4,9,253,377,7482,4,2147,132,0,411,4576,2035
"Fort Madison, IA Micro Area",22800,3444,3714,21.03933294028468,142,37.58106628484798,5.836772509054156,35.54282826581319,23746,1424,0,186,320,283,0,0,0,8,16,11,244,135,7500,0,974,183,0,166,3090,1906
"Fort Morgan, CO Micro Area",22820,1814,2166,17.56522652107722,91,32.437398288624074,15.397133707806185,34.60024148249252,19049,971,0,273,259,249,93,111,50,42,514,103,148,412,5208,0,880,679,0,209,3584,1193
"Fort Payne, AL Micro Area",22840,5478,4115,13.880406074612084,156,33.647655992076594,21.054803565533177,31.417134367778143,48464,3047,63,1510,1487,833,6,112,172,205,931,407,1015,1364,13260,39,2061,2052,8,395,6363,3385
"Fort Smith, AR-OK Metro Area",22900,13004,21392,21.414177947711067,1753,33.269608349695154,14.554484861010645,30.761728841583135,154832,10006,25,3380,4423,3601,19,276,151,304,1210,947,2038,2680,41506,11,7980,3470,0,2031,22664,11961
"Fort Wayne, IN Metro Area",23060,31583,59385,29.675773596066396,2787,29.70198864686646,9.337935531140456,31.284302225926687,297539,12103,23,3082,4891,4489,272,415,513,446,1014,623,3155,2855,76272,225,21782,5758,23,4343,40183,21317
"Frankfort, IN Micro Area",23140,1991,2375,16.712843390467246,54,43.639351960554116,13.64639586757455,26.001408781404084,21295,922,0,609,260,250,40,26,9,67,429,78,232,592,8371,0,1014,306,8,116,2064,1482
"Frankfort, KY Micro Area",23180,4380,9588,29.90459998110891,518,31.523566638330024,7.768017379805421,30.803816000755646,52935,3640,22,585,841,477,0,15,10,9,106,154,759,586,13047,0,4676,548,0,1048,7364,4562
"Franklin, KY Micro Area",23190,1477,1401,16.75263511998206,30,40.45002616431188,10.839500635419002,31.95783808028706,13377,970,0,422,267,177,6,0,0,16,20,77,67,221,4441,0,779,177,0,31,1675,1123
"Fredericksburg, TX Micro Area",23240,1623,4526,35.33549783549784,358,24.69500196772924,10.719205037386855,29.25029515938607,20328,634,0,177,353,273,36,128,13,99,201,166,278,281,4386,0,1844,174,0,455,2728,1595
"Freeport, IL Micro Area",23300,3755,4425,21.732208247094412,209,31.96624741283235,8.524120362999522,37.77742397707372,31405,1648,5,367,624,579,22,0,13,12,54,79,177,346,8391,26,1903,373,0,288,4999,3110
"Fremont, NE Micro Area",23340,2580,3459,21.546307629538962,103,35.94451244390045,10.795593635250917,31.71358629130967,24510,1163,9,244,369,292,19,4,48,66,332,59,366,378,7647,9,1367,451,0,352,2876,2317
"Fremont, OH Micro Area",23380,4764,5627,19.105330101514316,76,42.712808082747365,6.700424776212532,31.48143703952579,41669,1864,17,384,503,869,0,27,27,10,125,57,189,365,15934,23,1946,196,0,312,4733,3621
"Fresno, CA Metro Area",23420,65887,110576,22.932285600231857,6319,23.136527934992426,22.163984448053544,31.76720201672217,731484,23210,1782,18047,14934,24165,2961,6557,4206,3701,23088,3650,9247,13685,146030,604,37963,35378,121,12888,114864,51621
"Gadsden, AL Metro Area",23460,7763,7698,17.476918836984982,554,33.96858205870194,14.22213035689679,34.33236874741629,72570,5024,0,1903,2031,1680,26,141,127,83,115,281,885,1332,19627,19,3220,1698,0,1211,11777,5375
"Gaffney, SC Micro Area",23500,3913,4261,18.403807146200656,190,36.91423519009726,14.49264055754928,30.189317106152807,38454,3087,6,969,1085,1155,34,6,43,92,196,330,337,745,11108,0,2275,575,0,351,5232,2464
"Gainesville, FL Metro Area",23540,24252,44226,40.94287105338098,10528,24.220781010297724,7.2676581633121735,27.56868977300912,217718,9457,10,2785,3849,2954,33,41,147,131,508,517,1299,1824,43276,33,25749,1647,45,8637,23357,12413
"Gainesville, GA Metro Area",23580,10516,23186,26.731725572324056,1950,27.706889479024984,18.662694043223873,26.89869090542709,138951,6244,103,2465,2557,3773,202,497,575,1487,3690,1012,1234,2763,32255,0,8670,5556,18,3338,17743,9117
"Gainesville, TX Micro Area",23620,2618,4507,23.59448928472029,325,31.22042861118842,11.609379348733649,33.57570275535764,28744,1551,72,540,222,684,0,68,36,55,282,24,237,579,7423,0,1704,531,7,246,4697,2336
"Galesburg, IL Micro Area",23660,4506,4527,20.29594023281404,311,34.907627265882894,10.682226211849192,34.11420628945387,34534,2640,0,976,671,552,13,56,12,62,159,74,293,399,9415,0,1882,422,0,289,4128,3147
"Gallipolis, OH Micro Area",23680,1960,2024,17.901265695123797,161,41.853663456204934,13.14608441329232,27.09898643537895,19831,1043,0,477,719,271,0,6,11,35,87,30,394,342,7257,0,1178,235,0,187,1883,1531
"Gallup, NM Micro Area",23700,3338,3323,12.461770311599663,242,36.59190638712823,19.11927662780905,31.827046673463055,45122,1516,32,1589,2104,487,23,157,65,375,541,393,916,1233,14995,5,1692,706,1,366,9108,1915
"Garden City, KS Micro Area",23780,2066,2958,19.735205260351872,147,22.916296427936732,28.851963746223564,28.496534565487824,22508,1426,47,594,609,635,89,94,125,439,1019,326,546,769,3732,2,1166,1197,3,171,2909,1439
"Gardnerville Ranchos, NV-CA Micro Area",23820,4311,8392,32.34457336532991,607,24.009796887756366,6.184903886593602,37.46072586032013,40421,1683,0,341,483,614,0,4,12,17,321,68,153,191,8022,0,3230,289,7,845,7274,3557
"Gettysburg, PA Metro Area",23900,6562,10664,24.765906849166992,842,40.605872258779335,9.277250064181382,25.35097082787229,74009,3675,23,1369,1200,1149,18,0,37,36,216,160,852,803,26377,2,5871,955,46,952,7565,4635
"Gillette, WY Micro Area",23940,3731,4340,22.21320258466734,225,32.74669610676364,8.120920868915803,36.91918043965322,30797,1462,0,352,473,526,0,10,13,0,247,26,147,187,8623,0,2081,520,0,195,4697,2942
"Glasgow, KY Micro Area",23980,3356,3921,16.91798455314454,181,42.84400777596806,13.894288866705196,26.34371880418221,38066,3338,0,813,759,734,0,79,34,16,246,244,1126,627,12971,0,1861,601,10,477,3723,2949
"Glens Falls, NY Metro Area",24020,11421,14913,28.217884530071615,752,33.68929167458859,8.866214589010712,29.226609206329083,94674,6045,6,1572,1466,1527,48,17,37,23,164,423,567,1258,25850,13,9104,1271,2,1946,10661,5588
"Gloversville, NY Micro Area",24100,5801,5111,21.15566037735849,228,35.86477987421384,11.5041928721174,31.475366876310275,38160,2206,0,700,1118,665,0,7,9,9,231,81,328,696,11480,6,2388,540,0,346,3846,2364
"Goldsboro, NC Metro Area",24140,9386,11536,21.33420052541638,438,30.407835335526816,13.591960619277168,34.66600351977963,78414,3191,118,1629,1561,1239,139,320,229,171,1112,307,1291,1707,20653,0,4268,821,14,487,12445,5352
"Granbury, TX Micro Area",24180,3428,10532,32.40689152702181,597,27.902541464878073,7.740110573008185,31.95045643509193,46666,2690,28,512,653,965,0,20,0,16,169,147,171,404,10331,7,3499,520,0,495,7143,4339
"Grand Forks, ND-MN Metro Area",24220,8845,14371,34.21459468744632,1634,23.502037884348113,5.0939300716773115,37.18943735652825,64037,1807,6,366,612,691,37,8,9,2,30,121,523,363,13243,4,4776,488,2,1129,10276,4694
"Grand Island, NE Metro Area",24260,4559,6780,20.893756142567742,292,32.98433519866819,13.524680586477325,32.59722807228674,49857,1942,9,662,936,889,35,53,79,69,649,169,745,675,14503,4,2845,1769,0,500,7255,4438
"Grand Junction, CO Metro Area",24300,9321,23024,30.62717675963174,1582,28.467291233564623,7.648694619185183,33.256837387618454,111117,5632,0,1369,2249,1503,13,41,12,39,551,161,552,1105,26000,10,7399,879,15,2027,19433,8200
"Grand Rapids, MN Micro Area",24330,4840,5399,25.146021850316252,236,30.608600913960597,5.347577399146567,38.89779983657658,33043,1213,3,332,495,436,1,0,15,16,59,4,99,156,8901,0,2285,136,15,389,5010,3003
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",24340,72844,177335,35.38194200933523,10230,26.807760141093475,7.525980991862189,30.284316857709104,769986,29140,330,8665,9375,11833,269,529,355,920,3058,1273,5154,5269,177276,137,71509,10675,107,13362,102588,57753
"Grants Pass, OR Metro Area",24420,6366,8115,19.713916153085293,623,31.355093966369928,9.763372137259378,39.1676177432854,65715,4760,19,952,1519,1915,5,0,75,78,165,68,245,871,15845,43,3513,461,0,704,12704,6669
"Great Bend, KS Micro Area",24460,2108,2794,21.672295330150227,51,28.199604052637707,9.747292418772563,40.380808198439496,17174,932,71,344,211,193,0,0,85,0,77,55,156,305,3911,1,723,148,28,154,2881,1946
"Great Falls, MT Metro Area",24500,6181,10618,28.736878334193772,566,31.526415419032865,6.102219927723283,33.634486319050076,58110,3404,0,569,600,699,4,2,0,75,48,18,681,395,14916,0,4354,451,4,1161,8889,4475
"Greeley, CO Metro Area",24540,22460,45440,31.956224350205197,2929,24.453365028817476,11.542687986364962,32.04772263461236,222955,10088,121,2754,2639,4805,182,316,326,1038,2525,646,3065,2136,44432,259,19700,4890,33,3179,32463,16529
"Green Bay, WI Metro Area",24580,29322,47295,29.885831498456046,1857,31.26365082248282,6.715872390007044,32.134645289054085,225719,7933,78,1610,2618,3662,26,45,93,230,767,137,1255,1514,62635,135,15376,2888,101,2930,27339,15873
"Greencastle, IN Micro Area",24600,2401,3470,19.88246430543504,185,38.565906760274515,9.178038968210146,32.3735899660803,25354,966,0,420,466,440,4,0,9,41,111,57,310,224,8812,0,1134,245,0,252,3738,2069
"Greeneville, TN Micro Area",24620,3893,5717,17.67961183966952,442,42.90418753288256,13.305013737602058,26.111186889845868,51319,3926,0,1241,896,1075,23,44,31,174,281,175,1155,1162,18092,0,2318,571,0,596,6101,3406
"Greenfield, MA Micro Area",24640,5528,11576,40.30131826741996,1655,27.168494516450647,6.078062109966397,26.452125106162995,54162,1899,10,541,694,763,29,19,23,39,63,89,236,389,12816,11,7259,351,35,1338,5502,3297
