NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Steamboat Springs, CO Micro Area",44460,31400,618,1.9681528662420382
"Stephenville, TX Micro Area",44500,35254,1188,3.3698303738582855
"Sterling, CO Micro Area",44540,17638,580,3.28835468874022
"Sterling, IL Micro Area",44580,44481,1270,2.8551516377779276
"Stevens Point-Plover, WI Micro Area",44620,58561,1247,2.1294035279452195
"Stillwater, OK Micro Area",44660,68445,1737,2.5378040762656147
"Stockton-Lodi, CA Metro Area",44700,603277,27442,4.548822514367363
"Storm Lake, IA Micro Area",44740,15855,541,3.4121728161463265
"Sturgis, MI Micro Area",44780,47676,1524,3.1965768940347346
"Sulphur Springs, TX Micro Area",44860,29213,824,2.8206620340259474
"Summerville, GA Micro Area",44900,20080,476,2.3705179282868527
"Sumter, SC Metro Area",44940,82564,3231,3.913327842643283
"Sunbury, PA Micro Area",44980,90120,1900,2.108300044385264
"Susanville, CA Micro Area",45000,26164,787,3.0079498547622685
"Sweetwater, TX Micro Area",45020,11312,388,3.4299858557284297
"Syracuse, NY Metro Area",45060,536041,17572,3.27810745819816
"Tahlequah, OK Micro Area",45140,38544,1127,2.923931091739311
"Talladega-Sylacauga, AL Micro Area",45180,74813,3022,4.03940491625787
"Tallahassee, FL Metro Area",45220,322286,10700,3.320032517701669
"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,2682451,76050,2.8350937258499784
"Taos, NM Micro Area",45340,29582,780,2.6367385572307485
"Taylorville, IL Micro Area",45380,27866,731,2.6232684992463935
"Terre Haute, IN Metro Area",45460,137600,4477,3.2536337209302326
"Texarkana, TX-AR Metro Area",45500,116371,3239,2.783339491797785
"The Dalles, OR Micro Area",45520,21508,1004,4.668030500278967
"Thomaston, GA Micro Area",45580,22140,317,1.4317976513098465
"Thomasville, GA Micro Area",45620,56240,1798,3.19701280227596
"Tiffin, OH Micro Area",45660,44687,1100,2.4615660035357037
"Tifton, GA Micro Area",45700,39058,1040,2.6627067438168877
"Toccoa, GA Micro Area",45740,21692,620,2.858196570164116
"Toledo, OH Metro Area",45780,483696,18798,3.8863252952267535
"Topeka, KS Metro Area",45820,185362,4348,2.34568034440716
"Torrington, CT Micro Area",45860,95007,3356,3.532371298956919
"Town of Pecos, TX Micro Area",45880,10365,242,2.334780511336228
"Traverse City, MI Metro Area",45900,128694,2919,2.2681710103035106
"Trenton-Princeton, NJ Metro Area",45940,309345,12165,3.932502545701402
"Troy, AL Micro Area",45980,27417,592,2.1592442645074224
"Truckee-Grass Valley, CA Micro Area",46020,86942,2162,2.4867152814520024
"Tucson, AZ Metro Area",46060,865161,28264,3.2669063908336136
"Tullahoma-Manchester, TN Micro Area",46100,51821,1251,2.414079234287258
"Tulsa, OK Metro Area",46140,803219,26495,3.298602249199782
"Tupelo, MS Micro Area",46180,104526,2798,2.6768459522032795
"Tuscaloosa, AL Metro Area",46220,224069,7208,3.2168662331692475
"Twin Falls, ID Metro Area",46300,88477,1871,2.1146738700453227
"Tyler, TX Metro Area",46340,186877,4672,2.5000401333497435
"Ukiah, CA Micro Area",46380,73715,3881,5.264871464423794
"Union City, TN Micro Area",46460,24483,506,2.066740187068578
"Urbana, OH Micro Area",46500,31383,1041,3.3170824968932227
"Urban Honolulu, HI Metro Area",46520,816807,23328,2.8559990303706995
"Utica-Rome, NY Metro Area",46540,234804,6350,2.70438323026865
"Utuado, PR Micro Area",46580,23874,2562,10.731339532545865
"Uvalde, TX Micro Area",46620,18980,341,1.7966280295047419
"Valdosta, GA Metro Area",46660,117156,3716,3.171839257058964
"Vallejo, CA Metro Area",46700,363163,13027,3.587094500265721
"Van Wert, OH Micro Area",46780,23087,532,2.3043271104950835
"Vermillion, SD Micro Area",46820,12759,711,5.5725370326828125
"Vernal, UT Micro Area",46860,26313,904,3.435564169801999
"Vernon, TX Micro Area",46900,10323,601,5.821950983241305
"Vicksburg, MS Micro Area",46980,34521,1080,3.1285304597201704
"Victoria, TX Metro Area",47020,76353,2041,2.673110421332495
"Vidalia, GA Micro Area",47080,27638,689,2.4929444967074317
"Vincennes, IN Micro Area",47180,29071,459,1.5788930549344709
"Vineland, NJ Metro Area",47220,119461,5152,4.312704564669642
"Vineyard Haven, MA Micro Area",47240,17579,789,4.488309915239775
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",47260,1431104,44207,3.089013796341845
"Visalia, CA Metro Area",47300,349036,18688,5.354175500521436
"Wabash, IN Micro Area",47340,25036,540,2.156894072535549
"Waco, TX Metro Area",47380,235890,6559,2.780533299419221
"Wahpeton, ND-MN Micro Area",47420,18385,307,1.6698395431057926
"Walla Walla, WA Metro Area",47460,50787,1698,3.3433752731998347
"Wapakoneta, OH Micro Area",47540,36565,603,1.649118009025024
"Warner Robins, GA Metro Area",47580,152316,4909,3.222905013261903
"Warren, PA Micro Area",47620,31617,742,2.346838726001834
"Warrensburg, MO Micro Area",47660,43557,1240,2.8468443648552473
"Warsaw, IN Micro Area",47700,63946,1201,1.8781471866887687
"Washington, IN Micro Area",47780,24668,257,1.0418355764553267
"Washington, NC Micro Area",47820,37036,1112,3.0024840695539474
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,4992967,165544,3.315543643689213
"Washington Court House, OH Micro Area",47920,22919,585,2.5524673851389674
"Waterbury-Shelton, CT Metro Area",47930,371797,14835,3.9900806085041034
"Waterloo-Cedar Falls, IA Metro Area",47940,134881,3996,2.962611487162758
"Watertown, SD Micro Area",47980,22760,310,1.3620386643233744
"Watertown-Fort Atkinson, WI Micro Area",48020,70812,1608,2.270801559057787
"Watertown-Fort Drum, NY Metro Area",48060,90886,3031,3.334947076557446
"Wausau, WI Metro Area",48140,110587,2140,1.9351279987701988
"Waycross, GA Micro Area",48180,43541,1036,2.379366574033669
"Waynesville, NC Micro Area",48200,52795,981,1.85813050478265
"Weatherford, OK Micro Area",48220,30471,822,2.6976469429949788
"Weirton-Steubenville, WV-OH Metro Area",48260,96774,3236,3.343873354413376
"Wenatchee-East Wenatchee, WA Metro Area",48300,97475,2415,2.4775583482944343
"West Plains, MO Micro Area",48460,31632,866,2.7377339403136065
"Wheeling, WV-OH Metro Area",48540,115039,3406,2.960735055068281
"Whitewater-Elkhorn, WI Micro Area",48580,87403,1934,2.212738693179868
"Wichita, KS Metro Area",48620,505181,16273,3.2212217007369635
"Wichita Falls, TX Metro Area",48660,118991,2332,1.9598120866284003
"Wildwood-The Villages, FL Metro Area",48680,128989,1845,1.4303545263549604
"Williamsport, PA Metro Area",48700,92959,2979,3.2046386041157926
"Williston, ND Micro Area",48780,28298,526,1.8587886069686903
"Willmar, MN Micro Area",48820,34269,826,2.410341708249438
"Wilmington, NC Metro Area",48900,372055,10948,2.942575694453777
"Wilmington, OH Micro Area",48940,33543,987,2.9424917270369377
"Wilson, NC Micro Area",48980,62613,2138,3.414626355549167
"Winchester, TN Micro Area",49010,35970,588,1.634695579649708
"Winchester, VA-WV Metro Area",49020,116655,3565,3.056019887703056
"Winnemucca, NV Micro Area",49080,13312,456,3.4254807692307696
"Winona, MN Micro Area",49100,41747,865,2.072005174024481
"Winston-Salem, NC Metro Area",49180,551787,16363,2.9654558733714276
"Wisconsin Rapids-Marshfield, WI Micro Area",49220,59919,1608,2.683622890902719
"Woodward, OK Micro Area",49260,15888,487,3.0652064451158108
"Wooster, OH Micro Area",49300,91444,1865,2.039499584445125
"Worcester, MA Metro Area",49340,704747,25023,3.550635901961981
"Worthington, MN Micro Area",49380,16431,275,1.6736656320370031
"Yakima, WA Metro Area",49420,189744,8418,4.436503921072603
"Yankton, SD Micro Area",49460,19098,191,1.0001047230076447
"York-Hanover, PA Metro Area",49620,370527,10777,2.908559969988692
"Youngstown-Warren, OH Metro Area",49660,351623,11088,3.153377338797519
"Yuba City, CA Metro Area",49700,139284,5741,4.1217943195198306
"Yuma, AZ Metro Area",49740,161981,6700,4.136287589285163
"Zanesville, OH Micro Area",49780,68762,1883,2.7384311102062187
"Zapata, TX Micro Area",49820,9929,413,4.159532682042501
