NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Mount Airy, NC Micro Area",34340,58145,1666,2.865250666437355
"Mount Pleasant, MI Micro Area",34380,54460,2306,4.2343004039662135
"Mount Pleasant, TX Micro Area",34420,42769,1213,2.83616638219271
"Mount Sterling, KY Micro Area",34460,37406,849,2.2696893546489867
"Mount Vernon, IL Micro Area",34500,29538,1129,3.8221951384657054
"Mount Vernon, OH Micro Area",34540,50018,746,1.4914630732936143
"Mount Vernon-Anacortes, WA Metro Area",34580,106270,2972,2.7966500423449703
"Muncie, IN Metro Area",34620,94038,3465,3.684680661009379
"Murray, KY Micro Area",34660,31760,800,2.518891687657431
"Murrells Inlet, SC Micro Area",34680,54327,1414,2.602757376626723
"Muscatine, IA Micro Area",34700,33709,815,2.417751935684832
"Muskegon-Norton Shores, MI Metro Area",34740,140401,5691,4.053389933120134
"Muskogee, OK Micro Area",34780,51994,1627,3.1292072162172557
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",34820,312808,8826,2.8215390910718394
"Nacogdoches, TX Micro Area",34860,51186,2222,4.341030750595866
"Nantucket, MA Micro Area",34880,11791,455,3.8588754134509373
"Napa, CA Metro Area",34900,113023,3643,3.223237748068977
"Naples-Marco Island, FL Metro Area",34940,331756,6842,2.0623590831816156
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",34980,1628460,39960,2.453852105670388
"Natchez, MS-LA Micro Area",35020,43969,1719,3.9095726534603927
"Natchitoches, LA Micro Area",35060,29519,973,3.2961821199905144
"New Bern, NC Micro Area",35100,99962,2293,2.2938716712350695
"Newberry, SC Micro Area",35140,30783,644,2.0920638014488517
"New Castle, IN Micro Area",35220,40103,896,2.234246814452784
"New Haven, CT Metro Area",35300,468461,18081,3.859659608804148
"New Iberia, LA Micro Area",35340,53108,1849,3.481584695337802
"New Orleans-Metairie, LA Metro Area",35380,797039,33580,4.213093713105632
"New Philadelphia-Dover, OH Micro Area",35420,73584,2367,3.2167318982387476
"Newport, OR Micro Area",35440,43557,1693,3.8868608949193013
"Newport, TN Micro Area",35460,29930,694,2.3187437353825593
"New Ulm, MN Micro Area",35580,20732,351,1.6930349218599268
"New York-Newark-Jersey City, NY-NJ Metro Area",35620,16025582,681021,4.249586692077704
"Niles, MI Metro Area",35660,124265,4847,3.9005351466623748
"Nogales, AZ Micro Area",35700,37272,2210,5.929383987980253
"Norfolk, NE Micro Area",35740,37652,572,1.5191756082014236
"North Platte, NE Micro Area",35820,27914,534,1.9130185569964893
"North Port-Bradenton-Sarasota, FL Metro Area",35840,745072,16672,2.2376360942298197
"North Wilkesboro, NC Micro Area",35900,54290,1484,2.7334684103886535
"Norwalk, OH Micro Area",35940,46264,1178,2.546256268372817
"Norwich-New London-Willimantic, CT Metro Area",35980,230958,7242,3.135635050528668
"Oak Harbor, WA Micro Area",36020,73254,1626,2.21967401097551
"Ocala, FL Metro Area",36100,323504,8159,2.5220708244720313
"Ocean Pines, MD Micro Area",36180,45221,1724,3.8123880497998717
"Odessa, TX Metro Area",36220,118656,4469,3.7663497842502696
"Ogden, UT Metro Area",36260,478497,9018,1.8846513144283035
"Oil City, PA Micro Area",36340,41718,1455,3.4877031497195454
