NAME,metropolitan statistical area/micropolitan statistical area,median_mortgage_burden,mortgage_10_15,mortgage_10_15_pct,mortgage_15_20,mortgage_15_20_pct,mortgage_20_25,mortgage_20_25_pct,mortgage_25_30,mortgage_25_30_pct,mortgage_30_35,mortgage_30_35_pct,mortgage_35_40,mortgage_35_40_pct,mortgage_40_50,mortgage_40_50_pct,mortgage_less_10,mortgage_less_10_pct,mortgage_over_50,mortgage_over_50_pct,mortgage_total
"Aberdeen, SD Micro Area",10100,19.6,1300,18.865186475112466,1775,25.75823537948048,1105,16.0354085038456,704,10.216224060368596,381,5.528950805398345,194,2.815266289362937,389,5.645044260629807,490,7.110724132927006,487,7.067189087215208,6891
"Aberdeen, WA Micro Area",10140,23.6,1913,16.08644466868483,2058,17.30575176589304,1835,15.43054154053145,1433,12.050117726202489,985,8.282879246552303,728,6.1217625294315505,968,8.139926000672721,600,5.045408678102927,1269,10.67103935418769,11892
"Abilene, TX Metro Area",10180,21.9,3216,14.754323989539845,4203,19.2824700646878,4584,21.030417029866495,2571,11.795201174473553,1432,6.569711428178189,970,4.450153690874891,1586,7.276230673945956,1699,7.79465063999633,1511,6.932146625682433,21797
"Ada, OK Micro Area",10220,17.4,1504,28.73519296904853,1230,23.50019105846389,564,10.775697363393197,512,9.782193351165457,224,4.279709591134887,215,4.107756973633932,111,2.1207489491784486,525,10.030569354222392,332,6.343141001146351,5234
"Adrian, MI Micro Area",10300,19.6,3848,20.688172043010752,3699,19.887096774193548,2774,14.913978494623656,1529,8.220430107526882,1118,6.010752688172043,799,4.295698924731182,897,4.82258064516129,2056,11.053763440860214,1845,9.919354838709678,18600
"Aguadilla, PR Metro Area",10380,26.0,2051,12.752595908723496,2527,15.712242740782193,1985,12.3422247093204,1926,11.975377728035815,978,6.0809550457004296,1003,6.236398681837966,1337,8.313125660635453,981,6.099608282036933,3056,19.001430081452465,16083
"Akron, OH Metro Area",10420,18.1,30770,24.352602254020514,28119,22.254495377991642,17215,13.62463593769786,10085,7.981670254527036,6223,4.925129796125111,4286,3.392110928200583,4953,3.9200012663036596,14639,11.585887045713562,9615,7.609693554514372,126352
"Alamogordo, NM Micro Area",10460,19.8,1565,21.10871324521176,1415,19.085513892635557,1154,15.565147019152953,685,9.239277043431345,394,5.314270299433504,372,5.017534394388994,362,4.88265443755058,789,10.64202859455085,662,8.929053142702994,7414
"Alamosa, CO Micro Area",10480,24.6,537,15.655976676384839,475,13.848396501457728,446,13.002915451895044,538,15.685131195335277,283,8.25072886297376,269,7.8425655976676385,188,5.481049562682216,285,8.309037900874635,390,11.370262390670554,3430
"Albany, GA Metro Area",10500,19.9,3879,21.36836886465047,3418,18.828843717291907,2456,13.52944416900788,1950,10.742026111386547,790,4.351897757946345,672,3.70186745992398,855,4.709965294992563,1831,10.08648708202501,2208,12.163278796893076,18153
