NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Boise City, ID Metro Area",14260,37.4,82694,1383,790640
"Bonham, TX Micro Area",14300,40.7,68377,994,36525
"Boone, NC Micro Area",14380,32.2,51367,1066,54607
"Borger, TX Micro Area",14420,38.1,65470,852,20413
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,39.3,112484,1940,4917661
"Boulder, CO Metro Area",14500,37.5,102772,1893,328317
"Bowling Green, KY Metro Area",14540,35.6,62437,936,183194
"Bozeman, MT Metro Area",14580,33.8,87454,1574,122194
"Bradford, PA Micro Area",14620,43.8,61705,769,40149
"Brainerd, MN Micro Area",14660,46.7,69311,949,97801
"Branson, MO Micro Area",14700,42.0,58258,925,56382
"Brattleboro, VT Micro Area",14710,47.3,68021,1056,45913
"Breckenridge, CO Micro Area",14720,38.8,102233,1798,38268
"Bremerton-Silverdale-Port Orchard, WA Metro Area",14740,39.9,98546,1741,276581
"Brenham, TX Micro Area",14780,40.9,75085,1091,36156
"Brevard, NC Micro Area",14820,51.9,64523,909,33243
"Bridgeport-Stamford-Danbury, CT Metro Area",14860,41.0,111656,1827,947528
"Brigham City, UT-ID Micro Area",14940,33.4,77315,1027,64406
"Brookhaven, MS Micro Area",15020,41.2,48316,754,34830
"Brookings, OR Micro Area",15060,57.2,64769,1156,23463
"Brookings, SD Micro Area",15100,28.0,67341,874,34968
"Brownsville-Harlingen, TX Metro Area",15180,32.4,51334,899,423192
"Brownwood, TX Micro Area",15220,41.4,55305,887,38294
"Brunswick-St. Simons, GA Metro Area",15260,43.6,64819,1003,114345
"Bucyrus, OH Micro Area",15340,43.3,55477,761,41767
"Buffalo-Cheektowaga, NY Metro Area",15380,40.7,70572,1005,1161385
"Burley, ID Micro Area",15420,33.5,68214,916,47087
"Burlington, IA-IL Micro Area",15460,43.0,61453,902,44881
"Burlington, NC Metro Area",15500,38.7,64445,1007,174286
"Burlington-South Burlington, VT Metro Area",15540,38.3,90911,1531,226603
"Butte-Silver Bow, MT Micro Area",15580,40.3,57504,810,35589
"Cadillac, MI Micro Area",15620,42.3,62833,866,49024
"Calhoun, GA Micro Area",15660,38.8,61997,872,58336
"Cambridge, MD Micro Area",15700,43.9,60495,959,32612
"Cambridge, OH Micro Area",15740,42.7,55756,803,38283
"Camden, AR Micro Area",15780,44.1,52267,720,27034
"Campbellsville, KY Micro Area",15820,39.8,55929,677,37483
"Cañon City, CO Micro Area",15860,44.9,61027,1036,49394
"Canton, IL Micro Area",15900,43.7,58617,808,33259
"Canton-Massillon, OH Metro Area",15940,42.1,65666,873,400495
"Cape Coral-Fort Myers, FL Metro Area",15980,49.3,73099,1597,792692
"Cape Girardeau, MO-IL Metro Area",16020,38.1,67267,864,97813
"Carbondale, IL Micro Area",16060,32.9,45572,746,52706
"Carlsbad-Artesia, NM Micro Area",16100,35.9,79605,1183,61114
"Carroll, IA Micro Area",16140,41.8,68528,722,20677
"Carson City, NV Metro Area",16180,42.1,71809,1172,58364
"Casper, WY Metro Area",16220,38.2,71247,973,79735
"Cedar City, UT Micro Area",16260,29.9,65527,1008,60201
"Cedar Rapids, IA Metro Area",16300,39.3,77084,899,275960
"Cedartown, GA Micro Area",16340,38.5,55308,870,43365
"Celina, OH Micro Area",16380,39.1,78036,812,42438
"Centralia, IL Micro Area",16460,41.3,60839,771,37294
