NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Ketchikan, AK Micro Area",28540,40.8,89155,1388,13870
"Key West-Key Largo, FL Micro Area",28580,48.9,82430,1959,81840
"Kill Devil Hills, NC Micro Area",28620,48.5,81214,1307,37534
"Killeen-Temple, TX Metro Area",28660,32.6,67203,1160,485850
"Kingsland, GA Micro Area",28680,34.6,72399,1167,56036
"Kingsport-Bristol, TN-VA Metro Area",28700,45.6,55948,820,309580
"Kingston, NY Metro Area",28740,44.2,81804,1335,182109
"Kingsville, TX Micro Area",28780,29.3,57612,1022,30629
"Kinston, NC Micro Area",28820,42.2,44795,814,54917
"Kirksville, MO Micro Area",28860,31.1,56468,767,29268
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",28880,39.3,96912,1568,700984
"Klamath Falls, OR Micro Area",28900,41.3,59353,973,69812
"Knoxville, TN Metro Area",28940,40.5,69734,1080,919553
"Kokomo, IN Metro Area",29020,41.0,62496,915,83610
"Laconia, NH Micro Area",29060,48.3,87983,1184,64300
"La Crosse-Onalaska, WI-MN Metro Area",29100,38.8,71009,998,169945
"Lafayette, LA Metro Area",29180,37.2,60910,954,410883
"Lafayette-West Lafayette, IN Metro Area",29200,30.8,59895,1071,225019
"La Grande, OR Micro Area",29260,40.1,64212,982,26192
"LaGrange, GA-AL Micro Area",29300,38.7,53959,1000,104271
"Lake Charles, LA Metro Area",29340,37.3,67010,1070,245973
"Lake City, FL Micro Area",29380,40.7,55070,915,70755
"Lake Havasu City-Kingman, AZ Metro Area",29420,53.2,55799,1047,217420
"Lakeland-Winter Haven, FL Metro Area",29460,39.6,63644,1272,760961
"Lake of the Woods, VA Micro Area",29470,42.0,94175,1145,37208
"Lancaster, PA Metro Area",29540,39.1,83703,1289,555151
"Lansing-East Lansing, MI Metro Area",29620,36.5,70886,1054,470434
"Laramie, WY Micro Area",29660,28.7,59881,936,37713
"Laredo, TX Metro Area",29700,29.8,62506,997,267731
"Lares, PR Micro Area",29720,45.0,19323,493,27944
"Las Cruces, NM Metro Area",29740,34.0,55663,903,221665
"Las Vegas, NM Micro Area",29780,47.8,47700,775,31212
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",29820,38.3,73845,1518,2293764
"Laurel, MS Micro Area",29860,38.5,49867,810,83050
"Laurinburg, NC Micro Area",29900,38.3,43500,766,34353
"Lawrence, KS Metro Area",29940,31.3,68756,1066,119547
"Lawrenceburg, TN Micro Area",29980,39.0,53233,736,44901
"Lawton, OK Metro Area",30020,34.0,59060,933,127174
"Lebanon, MO Micro Area",30060,39.6,50825,796,36245
"Lebanon, PA Metro Area",30140,41.3,76350,1087,143592
"Lebanon-Claremont, NH-VT Micro Area",30150,46.0,79161,1182,222850
"Le Mars, IA Micro Area",30180,41.1,81600,865,25699
"Lewisburg, PA Micro Area",30260,40.5,72894,944,42570
"Lewisburg, TN Micro Area",30280,39.6,70829,924,35276
"Lewiston, ID-WA Metro Area",30300,42.3,70694,956,64901
"Lewiston-Auburn, ME Metro Area",30340,40.8,67298,966,112323
"Lewistown, PA Micro Area",30380,43.1,61415,792,46074
"Lexington, NE Micro Area",30420,36.8,66023,859,25949
"Lexington-Fayette, KY Metro Area",30460,36.6,70717,1070,517378
"Lexington Park, MD Metro Area",30500,38.5,123577,1694,208163
"Liberal, KS Micro Area",30580,31.0,62269,924,21640
"Lima, OH Metro Area",30620,39.7,62001,898,101685
"Lincoln, IL Micro Area",30660,40.5,64188,804,27870
"Lincoln, NE Metro Area",30700,34.4,73095,1043,341309
"Little Rock-North Little Rock-Conway, AR Metro Area",30780,37.4,65309,1007,753605
"Lock Haven, PA Micro Area",30820,39.8,58842,815,37707
"Logan, UT-ID Metro Area",30860,26.4,77520,1120,151746
"Logansport, IN Micro Area",30900,41.1,56525,778,37703
"Longview, TX Metro Area",30980,38.0,65210,1039,288921
"Longview-Kelso, WA Metro Area",31020,41.1,72932,1169,111539
"Los Alamos, NM Micro Area",31060,41.1,143188,1308,19374
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31080,38.2,93525,1987,13012469
"Louisville/Jefferson County, KY-IN Metro Area",31140,39.3,71737,1064,1361847
"Lubbock, TX Metro Area",31180,32.3,62288,1116,354782
"Ludington, MI Micro Area",31220,47.2,62296,840,29177
"Lufkin, TX Micro Area",31260,37.8,58847,1056,86791
"Lumberton, NC Micro Area",31300,36.5,40318,784,116858
"Lynchburg, VA Metro Area",31340,40.0,67782,967,262716
"Macomb, IL Micro Area",31380,35.1,50434,730,27102
"Macon-Bibb County, GA Metro Area",31420,38.6,58127,1003,234040
"Madison, IN Micro Area",31500,41.6,59987,865,33074
"Madison, WI Metro Area",31540,36.9,86827,1300,683967
"Madisonville, KY Micro Area",31580,41.3,57610,841,45143
"Magnolia, AR Micro Area",31620,34.5,47363,631,22527
"Malvern, AR Micro Area",31680,43.0,52644,763,33142
"Manchester-Nashua, NH Metro Area",31700,41.0,100436,1532,424732
"Manhattan, KS Metro Area",31740,27.1,64096,1083,133413
"Manitowoc, WI Micro Area",31820,45.0,68611,777,81314
"Mankato, MN Metro Area",31860,33.9,74722,1023,103736
"Mansfield, OH Metro Area",31900,40.9,57649,791,125138
"Marietta, OH Micro Area",31930,44.1,61355,828,59318
"Marinette, WI-MI Micro Area",31940,49.3,60185,732,65202
"Marion, IN Micro Area",31980,39.3,54007,799,66377
"Marion, NC Micro Area",32000,44.3,55527,741,44679
"Marion, OH Micro Area",32020,40.5,57306,850,65145
"Marion-Herrin, IL Micro Area",32060,41.4,65521,897,66902
"Marquette, MI Micro Area",32100,39.2,64675,923,66430
"Marshall, MN Micro Area",32140,37.3,72761,742,25498
"Marshall, MO Micro Area",32180,35.4,56566,733,23177
"Marshalltown, IA Micro Area",32260,38.7,72785,860,39971
"Martin, TN Micro Area",32280,37.9,49502,760,32959
"Martinsville, VA Micro Area",32300,45.6,47021,733,63949
"Maryville, MO Micro Area",32340,33.9,55970,754,20959
"Mason City, IA Micro Area",32380,44.0,66394,829,50165
"Massena-Ogdensburg, NY Micro Area",32390,39.0,61900,799,107796
"Mayagüez, PR Metro Area",32420,45.8,20400,483,211487
"Mayfield, KY Micro Area",32460,40.0,50576,713,36612
"McAlester, OK Micro Area",32540,40.3,54787,857,43629
"McAllen-Edinburg-Mission, TX Metro Area",32580,30.3,52281,925,880921
"McComb, MS Micro Area",32620,38.9,41963,860,53794
"McMinnville, TN Micro Area",32660,40.0,54088,775,41587
"McPherson, KS Micro Area",32700,39.1,77701,889,30130
"Meadville, PA Micro Area",32740,43.9,60254,800,83189
"Medford, OR Metro Area",32780,42.7,71443,1310,222563
"Memphis, TN-MS-AR Metro Area",32820,36.7,64743,1153,1341606
"Menomonie, WI Micro Area",32860,35.8,71785,942,45349
"Merced, CA Metro Area",32900,31.8,65044,1284,285597
"Meridian, MS Micro Area",32940,40.0,49156,893,87408
"Mexico, MO Micro Area",33020,40.3,56232,698,24688
"Miami, OK Micro Area",33060,37.3,48656,764,30360
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,41.9,73481,1770,6138876
"Michigan City-La Porte, IN Metro Area",33140,40.8,70452,926,112141
"Middlesborough, KY Micro Area",33180,41.2,32403,617,23878
"Midland, MI Metro Area",33220,41.8,77538,974,83641
"Midland, TX Metro Area",33260,32.7,93442,1377,176726
"Milledgeville, GA Micro Area",33300,36.4,55413,865,43669
"Milwaukee-Waukesha, WI Metro Area",33340,38.5,76404,1105,1566361
"Minden, LA Micro Area",33380,41.2,37396,777,36189
"Mineral Wells, TX Micro Area",33420,41.1,64972,1024,28920
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,37.8,98180,1396,3693351
"Minot, ND Metro Area",33500,33.9,79195,993,76773
"Missoula, MT Metro Area",33540,37.3,70888,1118,124435
"Mitchell, SD Micro Area",33580,39.5,64723,745,25779
"Moberly, MO Micro Area",33620,40.1,55310,742,24524
"Mobile, AL Metro Area",33660,38.4,58119,1021,413162
"Modesto, CA Metro Area",33700,34.8,79661,1528,552250
"Monroe, LA Metro Area",33740,38.0,49203,897,224705
"Monroe, MI Metro Area",33780,42.6,75272,1017,155001
"Montgomery, AL Metro Area",33860,37.9,62746,1063,385159
"Monticello, IN Micro Area",33900,42.5,66143,853,24709
"Monticello, NY Micro Area",33910,41.7,69826,999,79147
"Montrose, CO Micro Area",33940,45.7,66072,1120,43272
"Morehead City, NC Micro Area",33980,50.1,70235,1062,68652
"Morgan City, LA Micro Area",34020,39.7,51768,839,48455
"Morgantown, WV Metro Area",34060,35.0,62394,926,140724
"Morristown, TN Metro Area",34100,42.0,58130,853,120765
"Moscow, ID Micro Area",34140,30.7,65179,905,40315
"Moses Lake, WA Micro Area",34180,33.5,71115,1059,100428
"Moultrie, GA Micro Area",34220,37.2,49691,779,45907
"Mountain Home, AR Micro Area",34260,51.9,48427,866,42150
"Mountain Home, ID Micro Area",34300,32.5,58976,1111,29046
"Mount Airy, NC Micro Area",34340,43.7,56095,741,71407
"Mount Pleasant, MI Micro Area",34380,29.8,53759,863,64475
"Mount Pleasant, TX Micro Area",34420,37.6,56163,811,55950
"Mount Sterling, KY Micro Area",34460,40.7,55186,737,47286
"Mount Vernon, IL Micro Area",34500,41.1,61102,862,36808
"Mount Vernon, OH Micro Area",34540,39.4,73988,925,62888
"Mount Vernon-Anacortes, WA Metro Area",34580,41.9,85474,1439,130407
"Muncie, IN Metro Area",34620,35.7,56932,874,112109
"Murray, KY Micro Area",34660,35.4,51854,828,37882
"Murrells Inlet, SC Micro Area",34680,51.6,66734,1166,64200
"Muscatine, IA Micro Area",34700,39.1,69512,966,42735
"Muskegon-Norton Shores, MI Metro Area",34740,39.9,63495,960,175378
"Muskogee, OK Micro Area",34780,38.2,51999,824,66471
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",34820,48.2,64623,1181,368937
"Nacogdoches, TX Micro Area",34860,31.8,51528,923,64897
"Nantucket, MA Micro Area",34880,40.8,119750,2070,14299
"Napa, CA Metro Area",34900,42.8,108970,2141,136070
"Naples-Marco Island, FL Metro Area",34940,53.1,86173,1752,387681
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",34980,36.8,82499,1434,2043713
"Natchez, MS-LA Micro Area",35020,40.5,38706,721,54550
"Natchitoches, LA Micro Area",35060,33.3,46798,767,37047
"New Bern, NC Micro Area",35100,41.4,63380,1068,122634
"Newberry, SC Micro Area",35140,42.0,59670,854,38121
"New Castle, IN Micro Area",35220,42.1,60144,807,48896
"New Haven, CT Metro Area",35300,40.2,86266,1463,566803
"New Iberia, LA Micro Area",35340,37.8,57811,891,69194
"New Orleans-Metairie, LA Metro Area",35380,38.9,62271,1182,988763
"New Philadelphia-Dover, OH Micro Area",35420,41.2,64494,876,92585
"Newport, OR Micro Area",35440,52.5,61314,1150,50632
"Newport, TN Micro Area",35460,45.4,48416,787,36503
"New Ulm, MN Micro Area",35580,42.4,68690,931,25826
"New York-Newark-Jersey City, NY-NJ Metro Area",35620,39.4,97334,1780,19756722
"Niles, MI Metro Area",35660,42.6,63152,923,153411
"Nogales, AZ Micro Area",35700,37.9,53614,781,48209
"Norfolk, NE Micro Area",35740,38.2,66629,850,48682
"North Platte, NE Micro Area",35820,42.4,64652,866,34934
"North Port-Bradenton-Sarasota, FL Metro Area",35840,53.6,78278,1637,865031
"North Wilkesboro, NC Micro Area",35900,45.3,50438,715,65983
"Norwalk, OH Micro Area",35940,40.4,65972,824,58412
"Norwich-New London-Willimantic, CT Metro Area",35980,41.0,84185,1316,279025
"Oak Harbor, WA Micro Area",36020,44.5,88358,1631,86747
"Ocala, FL Metro Area",36100,48.2,58535,1174,387697
"Ocean Pines, MD Micro Area",36180,50.7,81455,1180,53279
"Odessa, TX Metro Area",36220,31.3,71031,1284,163206
"Ogden, UT Metro Area",36260,32.8,98361,1393,645510
"Oil City, PA Micro Area",36340,47.6,61626,774,50096
"Okeechobee, FL Micro Area",36380,40.7,52288,974,40249
"Oklahoma City, OK Metro Area",36420,35.8,70499,1081,1445122
"Olean, NY Micro Area",36460,42.5,58248,759,76479
"Olympia-Lacey-Tumwater, WA Metro Area",36500,39.8,93985,1634,296640
"Omaha, NE-IA Metro Area",36540,36.5,83023,1152,972840
"Oneonta, NY Micro Area",36580,40.4,67086,942,59738
"Ontario, OR-ID Micro Area",36620,37.6,59225,837,57891
"Opelousas, LA Micro Area",36660,37.5,45637,742,82128
"Orangeburg, SC Micro Area",36700,40.8,43214,804,83531
"Orlando-Kissimmee-Sanford, FL Metro Area",36740,38.3,75611,1659,2721022
"Oshkosh-Neenah, WI Metro Area",36780,38.4,72873,924,171357
"Oskaloosa, IA Micro Area",36820,39.1,69019,821,22045
"Othello, WA Micro Area",36830,29.2,65042,901,20690
"Ottawa, IL Micro Area",36837,42.5,70941,893,147676
"Ottawa, KS Micro Area",36840,40.1,72142,949,25994
"Ottumwa, IA Micro Area",36900,39.9,60034,950,35265
"Owatonna, MN Micro Area",36940,40.2,83448,1006,37413
"Owensboro, KY Metro Area",36980,39.1,65656,894,112322
"Owosso, MI Micro Area",37020,43.1,64464,876,68061
"Oxford, MS Micro Area",37060,32.6,61617,1036,69359
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",37100,39.4,107327,2248,838259
"Ozark, AL Micro Area",37120,38.0,53955,863,49516
"Paducah, KY-IL Metro Area",37140,43.3,62286,854,102924
"Pahrump, NV Micro Area",37220,52.4,55975,1013,53207
"Palatka, FL Micro Area",37260,45.0,47256,902,74235
"Palestine, TX Micro Area",37300,39.5,58846,1006,57825
"Palm Bay-Melbourne-Titusville, FL Metro Area",37340,46.8,75817,1456,620533
"Pampa, TX Micro Area",37420,36.9,56658,897,21916
"Panama City-Panama City Beach, FL Metro Area",37460,41.4,67834,1390,206627
"Paragould, AR Micro Area",37500,37.8,56793,852,46182
"Paris, TN Micro Area",37540,45.8,48540,741,32345
"Paris, TX Micro Area",37580,41.7,57315,898,62042
"Parkersburg-Vienna, WV Metro Area",37620,44.0,56029,786,88960
"Payson, AZ Micro Area",37740,51.4,59089,1001,53610
"Pella, IA Micro Area",37800,39.7,78059,880,33551
"Pensacola-Ferry Pass-Brent, FL Metro Area",37860,38.9,73588,1267,516994
"Peoria, IL Metro Area",37900,40.0,70872,923,365773
"Peru, IN Micro Area",37940,41.0,61130,794,35772
"Petoskey, MI Micro Area",37950,46.4,73724,1033,34159
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,39.1,89273,1413,6241882
"Phoenix-Mesa-Chandler, AZ Metro Area",38060,37.7,84703,1581,4941206
"Picayune, MS Micro Area",38100,41.1,56535,887,56781
"Pierre, SD Micro Area",38180,39.8,78965,925,20744
"Pikeville, KY Micro Area",38210,43.0,42014,792,92808
"Pine Bluff, AR Micro Area",38220,39.9,48727,838,73271
"Pinehurst-Southern Pines, NC Metro Area",38240,42.8,82837,1181,102840
"Pittsburg, KS Micro Area",38260,33.8,50311,837,38963
"Pittsburgh, PA Metro Area",38300,42.8,73942,1011,2443921
"Pittsfield, MA Metro Area",38340,47.8,72565,1042,128047
"Plainview, TX Micro Area",38380,34.7,53276,789,37541
"Platteville, WI Micro Area",38420,36.9,64349,812,51678
"Plattsburgh, NY Micro Area",38460,41.5,69208,956,78961
"Plymouth, IN Micro Area",38500,39.6,68041,936,46225
"Pocatello, ID Metro Area",38540,35.0,64080,879,88457
"Ponca City, OK Micro Area",38620,38.3,56673,830,43731
"Ponce, PR Metro Area",38660,43.8,20646,503,273739
"Pontiac, IL Micro Area",38700,41.9,70796,855,35659
"Poplar Bluff, MO Micro Area",38740,40.5,49213,768,42166
"Port Angeles, WA Micro Area",38820,51.8,67999,1110,77593
"Portland-South Portland, ME Metro Area",38860,43.7,88602,1384,557764
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,39.1,94573,1654,2510529
"Port Lavaca, TX Micro Area",38920,39.9,71870,1121,19921
"Port St. Lucie, FL Metro Area",38940,47.7,72506,1491,506701
"Portsmouth, OH Micro Area",39020,40.6,49571,749,73118
"Port Townsend, WA Micro Area",39040,59.5,71143,1291,33313
"Pottsville, PA Micro Area",39060,43.9,66901,842,143259
"Prescott Valley-Prescott, AZ Metro Area",39150,55.0,66106,1258,241656
"Price, UT Micro Area",39220,38.8,53673,828,20446
"Providence-Warwick, RI-MA Metro Area",39300,40.6,85646,1236,1673807
"Provo-Orem-Lehi, UT Metro Area",39340,25.6,96745,1434,695895
"Pueblo, CO Metro Area",39380,40.4,62250,1059,168726
"Pullman, WA Micro Area",39420,26.1,52893,1002,47042
"Punta Gorda, FL Metro Area",39460,60.0,66154,1289,195083
"Putnam, CT Micro Area",39480,43.9,87564,1153,95829
"Quincy, IL-MO Micro Area",39500,40.9,63470,803,75111
"Racine-Mount Pleasant, WI Metro Area",39540,40.5,75331,1017,196888
"Raleigh-Cary, NC Metro Area",39580,37.5,96066,1459,1449594
"Rapid City, SD Metro Area",39660,40.2,71985,1083,151064
"Raymondville, TX Micro Area",39700,33.7,45645,868,20218
"Reading, PA Metro Area",39740,39.9,77684,1143,429989
"Red Bluff, CA Micro Area",39780,40.1,61834,1159,65520
"Redding, CA Metro Area",39820,41.7,71931,1267,181554
"Red Wing, MN Micro Area",39860,42.3,82749,939,47844
"Reno, NV Metro Area",39900,39.4,84684,1491,556539
"Rexburg, ID Micro Area",39940,22.4,60690,960,67279
"Rice Lake, WI Micro Area",39960,44.8,64619,859,46741
"Richmond, IN Micro Area",39980,40.9,56652,813,66377
"Richmond, VA Metro Area",40060,38.7,84405,1388,1327321
"Richmond-Berea, KY Micro Area",40080,36.6,58837,818,124287
"Rifle, CO Micro Area",40090,38.8,90267,1637,79153
"Rio Grande City-Roma, TX Micro Area",40100,29.1,38182,715,65809
"Riverside-San Bernardino-Ontario, CA Metro Area",40140,35.6,86031,1756,4637725
"Riverton, WY Micro Area",40180,39.4,64646,858,39472
"Roanoke, VA Metro Area",40220,42.8,67447,986,314661
"Roanoke Rapids, NC Micro Area",40260,45.9,45823,769,65431
"Rochelle, IL Micro Area",40300,42.0,79244,901,51536
"Rochester, MN Metro Area",40340,38.8,89675,1195,227252
"Rochester, NY Metro Area",40380,40.6,74438,1102,1058875
"Rockford, IL Metro Area",40420,39.6,66571,988,336605
"Rockingham, NC Micro Area",40460,40.3,43626,744,42818
"Rock Springs, WY Micro Area",40540,37.4,76464,913,41786
"Rocky Mount, NC Metro Area",40580,41.6,57437,889,144228
"Rolla, MO Micro Area",40620,36.2,55427,801,44948
"Rome, GA Metro Area",40660,37.8,62540,971,98985
"Roseburg, OR Micro Area",40700,46.6,58983,995,111807
"Roswell, NM Micro Area",40740,36.9,52029,838,64446
"Ruidoso, NM Micro Area",40760,52.7,51643,883,20227
"Russellville, AL Micro Area",40770,38.6,51493,667,31978
"Russellville, AR Micro Area",40780,37.3,54936,822,84025
"Ruston, LA Micro Area",40820,28.6,38035,821,48160
"Rutland, VT Micro Area",40860,47.7,64778,965,60484
"Sacramento-Roseville-Folsom, CA Metro Area",40900,38.3,93986,1729,2406563
"Safford, AZ Micro Area",40940,34.4,67326,890,38860
"Saginaw, MI Metro Area",40980,41.1,58347,921,189210
"St. Cloud, MN Metro Area",41060,35.5,75670,1021,200816
"St. George, UT Metro Area",41100,39.0,76411,1464,189827
"St. Joseph, MO-KS Metro Area",41140,39.8,62900,885,120609
"St. Louis, MO-IL Metro Area",41180,39.8,78225,1073,2809414
"St. Marys, PA Micro Area",41260,48.5,64103,720,30703
"Salem, OH Micro Area",41400,44.7,58474,736,101203
"Salem, OR Metro Area",41420,37.3,76010,1324,435085
"Salina, KS Micro Area",41460,40.1,63998,908,59583
"Salinas, CA Metro Area",41500,35.3,94486,1995,435834
"Salisbury, MD Metro Area",41540,36.6,69592,1200,128802
"Salt Lake City-Murray, UT Metro Area",41620,33.7,95045,1486,1261337
"San Angelo, TX Metro Area",41660,35.9,66037,1125,120830
"San Antonio-New Braunfels, TX Metro Area",41700,35.7,74297,1299,2612802
"San Diego-Chula Vista-Carlsbad, CA Metro Area",41740,37.1,102285,2154,3282782
"Sandpoint, ID Micro Area",41760,48.2,65168,1059,49456
"Sandusky, OH Metro Area",41780,47.1,70687,889,115099
"Sanford, NC Micro Area",41820,39.9,63060,962,64565
"San Francisco-Oakland-Fremont, CA Metro Area",41860,40.0,133780,2426,4653593
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",41940,37.8,157444,2794,1969353
"San Juan-Bayamón-Caguas, PR Metro Area",41980,44.0,27966,607,2063795
"San Luis Obispo-Paso Robles, CA Metro Area",42020,40.2,93398,1899,281486
"Santa Cruz-Watsonville, CA Metro Area",42100,39.6,109266,2172,266021
"Santa Fe, NM Metro Area",42140,48.5,74689,1318,155175
"Santa Maria-Santa Barbara, CA Metro Area",42200,34.5,95977,2050,443975
"Santa Rosa-Petaluma, CA Metro Area",42220,42.7,102840,2093,485642
"Sault Ste. Marie, MI Micro Area",42300,41.3,60631,793,36448
"Savannah, GA Metro Area",42340,36.7,74632,1370,412089
"Sayre, PA Micro Area",42380,43.7,62482,868,59971
"Scottsbluff, NE Micro Area",42420,40.1,61156,889,36594
"Scottsboro, AL Micro Area",42460,43.4,49454,762,52839
"Scranton--Wilkes-Barre, PA Metro Area",42540,42.2,63656,963,567887
"Seaford, DE Micro Area",42580,51.4,78162,1221,247799
"Searcy, AR Micro Area",42620,38.4,53435,806,77395
"Seattle-Tacoma-Bellevue, WA Metro Area",42660,37.4,112594,1932,4021467
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",42680,55.0,71049,1284,163856
"Sebring, FL Metro Area",42700,54.2,55581,980,103808
"Sedalia, MO Micro Area",42740,37.9,60232,863,43205
"Selinsgrove, PA Micro Area",42780,40.5,68435,890,39711
"Selma, AL Micro Area",42820,40.3,36810,749,37536
"Seneca, SC Micro Area",42860,46.7,60193,876,79566
"Seneca Falls, NY Micro Area",42900,42.8,66007,925,33125
"Sevierville, TN Micro Area",42940,43.6,63829,1013,98802
"Seymour, IN Micro Area",42980,38.8,70208,946,46319
"Shawano, WI Micro Area",43020,44.6,66189,764,45183
"Shawnee, OK Micro Area",43060,38.0,60828,869,73011
"Sheboygan, WI Metro Area",43100,41.8,71898,889,117783
"Shelby-Kings Mountain, NC Micro Area",43140,41.2,55769,835,100170
"Shelbyville, TN Micro Area",43180,37.6,62197,917,51291
"Shelton, WA Micro Area",43220,44.8,78359,1205,66968
"Sheridan, WY Micro Area",43260,42.9,70855,950,31585
"Sherman-Denison, TX Metro Area",43300,39.4,70455,1178,139988
"Show Low, AZ Micro Area",43320,39.4,52752,832,107744
"Shreveport-Bossier City, LA Metro Area",43340,38.2,54635,1003,389004
"Sidney, OH Micro Area",43380,40.1,72822,904,48007
"Sierra Vista-Douglas, AZ Metro Area",43420,42.9,58970,939,125458
"Sikeston, MO Micro Area",43460,40.1,55225,801,50046
"Silver City, NM Micro Area",43500,49.0,45921,810,27856
"Sioux City, IA-NE-SD Metro Area",43580,36.2,72027,968,144007
"Sioux Falls, SD-MN Metro Area",43620,36.1,81418,987,293107
"Slidell-Mandeville-Covington, LA Metro Area",43640,40.4,79277,1305,269331
"Snyder, TX Micro Area",43660,36.4,62689,913,16633
"Somerset, KY Micro Area",43700,42.2,50943,835,65503
"Somerset, PA Micro Area",43740,47.0,59378,749,73255
"Sonora, CA Micro Area",43760,48.8,72259,1247,54873
"South Bend-Mishawaka, IN-MI Metro Area",43780,37.9,65385,1013,324180
"Sparta, WI Micro Area",43890,39.6,68213,920,46169
"Spartanburg, SC Metro Area",43900,38.3,62440,991,365086
"Spearfish, SD Micro Area",43940,43.8,66766,923,26574
"Spencer, IA Micro Area",43980,41.8,64082,798,16446
"Spirit Lake, IA Micro Area",44020,48.1,74570,930,17844
"Spokane-Spokane Valley, WA Metro Area",44060,38.8,72836,1187,591793
"Springfield, IL Metro Area",44100,40.9,74580,949,207386
"Springfield, MA Metro Area",44140,39.8,70535,1105,462853
"Springfield, MO Metro Area",44180,37.3,61488,927,481671
"Springfield, OH Metro Area",44220,41.2,60846,840,135445
"Starkville, MS Micro Area",44260,27.4,46930,857,61415
"State College, PA Metro Area",44300,33.8,72748,1181,158041
"Statesboro, GA Micro Area",44340,31.0,56172,948,92112
"Staunton-Stuarts Draft, VA Metro Area",44420,42.8,70949,1013,126052
"Steamboat Springs, CO Micro Area",44460,41.0,93984,1532,38248
"Stephenville, TX Micro Area",44500,31.9,65351,1134,43244
"Sterling, CO Micro Area",44540,39.1,55074,1027,21067
"Sterling, IL Micro Area",44580,43.4,64536,808,55192
"Stevens Point-Plover, WI Micro Area",44620,38.1,73284,903,70375
"Stillwater, OK Micro Area",44660,27.7,48937,922,82290
"Stockton-Lodi, CA Metro Area",44700,35.2,88531,1633,787416
"Storm Lake, IA Micro Area",44740,35.7,66564,835,20684
"Sturgis, MI Micro Area",44780,39.8,64707,825,60870
"Sulphur Springs, TX Micro Area",44860,39.6,64725,1038,37351
"Summerville, GA Micro Area",44900,41.1,47785,789,24975
"Sumter, SC Metro Area",44940,37.3,55990,1006,104853
"Sunbury, PA Micro Area",44980,44.1,59922,821,109004
"Susanville, CA Micro Area",45000,37.8,64395,1043,31177
"Sweetwater, TX Micro Area",45020,36.5,50160,866,14565
"Syracuse, NY Metro Area",45060,39.9,73558,1036,657128
"Tahlequah, OK Micro Area",45140,37.3,53668,803,47621
"Talladega-Sylacauga, AL Micro Area",45180,42.8,56331,767,91493
"Tallahassee, FL Metro Area",45220,34.7,63078,1197,388298
"Tampa-St. Petersburg-Clearwater, FL Metro Area",45300,42.2,71254,1497,3240469
"Taos, NM Micro Area",45340,51.9,58908,1069,34516
"Taylorville, IL Micro Area",45380,42.7,59253,729,33684
"Terre Haute, IN Metro Area",45460,38.4,55380,857,168850
"Texarkana, TX-AR Metro Area",45500,38.9,55046,933,146868
"The Dalles, OR Micro Area",45520,40.5,63602,978,26603
"Thomaston, GA Micro Area",45580,41.4,50904,779,27856
"Thomasville, GA Micro Area",45620,39.7,58186,932,71752
"Tiffin, OH Micro Area",45660,40.5,65020,814,54861
"Tifton, GA Micro Area",45700,37.3,50810,763,50237
"Toccoa, GA Micro Area",45740,41.2,52264,817,26842
"Toledo, OH Metro Area",45780,38.0,63749,917,602977
"Topeka, KS Metro Area",45820,40.2,68160,947,232724
"Torrington, CT Micro Area",45860,47.1,91035,1169,112848
"Town of Pecos, TX Micro Area",45880,34.4,56056,988,13219
"Traverse City, MI Metro Area",45900,46.1,77495,1154,154657
"Trenton-Princeton, NJ Metro Area",45940,39.2,96333,1515,383286
"Troy, AL Micro Area",45980,31.7,47961,855,32953
"Truckee-Grass Valley, CA Micro Area",46020,50.3,84905,1635,102452
"Tucson, AZ Metro Area",46060,39.7,67929,1154,1049947
"Tullahoma-Manchester, TN Micro Area",46100,39.8,61256,872,65551
"Tulsa, OK Metro Area",46140,37.3,67823,1034,1026209
"Tupelo, MS Micro Area",46180,38.0,63188,873,132079
"Tuscaloosa, AL Metro Area",46220,34.3,59975,966,275217
"Twin Falls, ID Metro Area",46300,35.5,66473,981,116909
"Tyler, TX Metro Area",46340,37.4,71923,1197,238014
"Ukiah, CA Micro Area",46380,43.9,64688,1325,90709
"Union City, TN Micro Area",46460,41.9,53102,770,30570
"Urbana, OH Micro Area",46500,41.6,74239,884,38772
"Urban Honolulu, HI Metro Area",46520,39.4,104264,2054,1003666
"Utica-Rome, NY Metro Area",46540,41.6,68830,896,289577
"Utuado, PR Micro Area",46580,46.3,17624,466,27896
"Uvalde, TX Micro Area",46620,34.6,57849,966,24810
"Valdosta, GA Metro Area",46660,32.6,54581,976,149139
"Vallejo, CA Metro Area",46700,39.1,99994,2088,450824
