NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,64627,1075,,13980,,,,,
"Bloomington, IL Metro Area",170882,78329,992,,14010,,,,,
"Bloomington, IN Metro Area",161256,62949,1137,,14020,,,,,
"Bloomsburg-Berwick, PA Micro Area",65055,61992,904,,14100,,,,,
"Bluefield, WV-VA Micro Area",98995,46906,781,,14140,,,,,
"Blytheville, AR Micro Area",39749,53428,797,,14180,,,,,
"Bogalusa, LA Micro Area",45238,42776,772,,14220,,,,,
"Boise City, ID Metro Area",790640,82694,1383,,14260,,,,,
"Bonham, TX Micro Area",36525,68377,994,,14300,,,,,
"Boone, NC Micro Area",54607,51367,1066,,14380,,,,,
"Borger, TX Micro Area",20413,65470,852,,14420,,,,,
"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,112484,1940,,14460,,,,,
"Boulder, CO Metro Area",328317,102772,1893,,14500,,,,,
"Bowling Green, KY Metro Area",183194,62437,936,,14540,,,,,
"Bozeman, MT Metro Area",122194,87454,1574,,14580,,,,,
"Bradford, PA Micro Area",40149,61705,769,,14620,,,,,
"Brainerd, MN Micro Area",97801,69311,949,,14660,,,,,
"Branson, MO Micro Area",56382,58258,925,,14700,,,,,
"Brattleboro, VT Micro Area",45913,68021,1056,,14710,,,,,
"Breckenridge, CO Micro Area",38268,102233,1798,,14720,,,,,
"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,98546,1741,,14740,,,,,
"Brenham, TX Micro Area",36156,75085,1091,,14780,,,,,
"Brevard, NC Micro Area",33243,64523,909,,14820,,,,,
"Bridgeport-Stamford-Danbury, CT Metro Area",947528,111656,1827,,14860,,,,,
"Brigham City, UT-ID Micro Area",64406,77315,1027,,14940,,,,,
"Brookhaven, MS Micro Area",34830,48316,754,,15020,,,,,
"Brookings, OR Micro Area",23463,64769,1156,,15060,,,,,
"Brookings, SD Micro Area",34968,67341,874,,15100,,,,,
"Brownsville-Harlingen, TX Metro Area",423192,51334,899,,15180,,,,,
"Brownwood, TX Micro Area",38294,55305,887,,15220,,,,,
"Brunswick-St. Simons, GA Metro Area",114345,64819,1003,,15260,,,,,
"Bucyrus, OH Micro Area",41767,55477,761,,15340,,,,,
"Buffalo-Cheektowaga, NY Metro Area",1161385,70572,1005,,15380,,,,,
"Burley, ID Micro Area",47087,68214,916,,15420,,,,,
"Burlington, IA-IL Micro Area",44881,61453,902,,15460,,,,,
"Burlington, NC Metro Area",174286,64445,1007,,15500,,,,,
"Burlington-South Burlington, VT Metro Area",226603,90911,1531,,15540,,,,,
"Butte-Silver Bow, MT Micro Area",35589,57504,810,,15580,,,,,
"Cadillac, MI Micro Area",49024,62833,866,,15620,,,,,
"Calhoun, GA Micro Area",58336,61997,872,,15660,,,,,
"Cambridge, MD Micro Area",32612,60495,959,,15700,,,,,
"Cambridge, OH Micro Area",38283,55756,803,,15740,,,,,
"Camden, AR Micro Area",27034,52267,720,,15780,,,,,
"Campbellsville, KY Micro Area",37483,55929,677,,15820,,,,,
"Cañon City, CO Micro Area",49394,61027,1036,,15860,,,,,
"Canton, IL Micro Area",33259,58617,808,,15900,,,,,
"Canton-Massillon, OH Metro Area",400495,65666,873,,15940,,,,,
"Cape Coral-Fort Myers, FL Metro Area",792692,73099,1597,,15980,,,,,
"Cape Girardeau, MO-IL Metro Area",97813,67267,864,,16020,,,,,
"Carbondale, IL Micro Area",52706,45572,746,,16060,,,,,
"Carlsbad-Artesia, NM Micro Area",61114,79605,1183,,16100,,,,,
"Carroll, IA Micro Area",20677,68528,722,,16140,,,,,
"Carson City, NV Metro Area",58364,71809,1172,,16180,,,,,
"Casper, WY Metro Area",79735,71247,973,,16220,,,,,
"Cedar City, UT Micro Area",60201,65527,1008,,16260,,,,,
"Cedar Rapids, IA Metro Area",275960,77084,899,,16300,,,,,
"Cedartown, GA Micro Area",43365,55308,870,,16340,,,,,
"Celina, OH Micro Area",42438,78036,812,,16380,,,,,
"Centralia, IL Micro Area",37294,60839,771,,16460,,,,,
"Centralia, WA Micro Area",83925,69690,1044,,16500,,,,,
