NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Jackson, MI Metro Area",160187,65004,958,,27100,,,,,
"Jackson, MS Metro Area",615908,60489,1034,,27140,,,,,
"Jackson, TN Metro Area",180844,58740,956,,27180,,,,,
"Jackson, WY-ID Micro Area",35459,106679,1577,,27220,,,,,
"Jacksonville, FL Metro Area",1645707,77013,1416,,27260,,,,,
"Jacksonville, IL Micro Area",37468,66168,704,,27300,,,,,
"Jacksonville, NC Metro Area",208537,64568,1198,,27340,,,,,
"Jacksonville, TX Micro Area",51143,59830,880,,27380,,,,,
"Jamestown, ND Micro Area",21525,60172,742,,27420,,,,,
"Jamestown-Dunkirk, NY Micro Area",126329,56507,797,,27460,,,,,
"Janesville-Beloit, WI Metro Area",163944,74390,1019,,27500,,,,,
"Jasper, IN Micro Area",43563,71918,801,,27540,,,,,
"Jefferson, GA Micro Area",80640,85012,1048,,27600,,,,,
"Jefferson City, MO Metro Area",150147,72425,804,,27620,,,,,
"Jesup, GA Micro Area",30519,49562,839,,27700,,,,,
"Johnson City, TN Metro Area",208934,56096,888,,27740,,,,,
"Johnstown, PA Metro Area",132355,56292,733,,27780,,,,,
"Jonesboro, AR Metro Area",134837,55478,907,,27860,,,,,
"Joplin, MO-KS Metro Area",202258,60146,872,,27900,,,,,
"Juneau, AK Micro Area",31969,100513,1462,,27940,,,,,
"Kahului-Wailuku, HI Metro Area",164675,95049,1863,,27980,,,,,
"Kalamazoo-Portage, MI Metro Area",261437,70525,1049,,28020,,,,,
"Kalispell, MT Micro Area",108445,71327,1094,,28060,,,,,
"Kankakee, IL Metro Area",106833,68325,1075,,28100,,,,,
"Kansas City, MO-KS Metro Area",2202006,81927,1201,,28140,,,,,
"Kapaa, HI Micro Area",73610,93612,1810,,28180,,,,,
"Kearney, NE Micro Area",57020,75141,901,,28260,,,,,
"Keene, NH Micro Area",76945,81001,1220,,28300,,,,,
"Kendallville, IN Micro Area",47417,70908,776,,28340,,,,,
"Kennett, MO Micro Area",27795,47368,632,,28380,,,,,
"Kennewick-Richland, WA Metro Area",307900,85881,1238,,28420,,,,,
"Kenosha, WI Metro Area",168413,79412,1175,,28450,,,,,
"Kerrville, TX Micro Area",53166,67927,1079,,28500,,,,,
"Ketchikan, AK Micro Area",13870,89155,1388,,28540,,,,,
"Key West-Key Largo, FL Micro Area",81840,82430,1959,,28580,,,,,
"Kill Devil Hills, NC Micro Area",37534,81214,1307,,28620,,,,,
"Killeen-Temple, TX Metro Area",485850,67203,1160,,28660,,,,,
"Kingsland, GA Micro Area",56036,72399,1167,,28680,,,,,
"Kingsport-Bristol, TN-VA Metro Area",309580,55948,820,,28700,,,,,
"Kingston, NY Metro Area",182109,81804,1335,,28740,,,,,
"Kingsville, TX Micro Area",30629,57612,1022,,28780,,,,,
"Kinston, NC Micro Area",54917,44795,814,,28820,,,,,
"Kirksville, MO Micro Area",29268,56468,767,,28860,,,,,
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",700984,96912,1568,,28880,,,,,
"Klamath Falls, OR Micro Area",69812,59353,973,,28900,,,,,
"Knoxville, TN Metro Area",919553,69734,1080,,28940,,,,,
"Kokomo, IN Metro Area",83610,62496,915,,29020,,,,,
"Laconia, NH Micro Area",64300,87983,1184,,29060,,,,,
"La Crosse-Onalaska, WI-MN Metro Area",169945,71009,998,,29100,,,,,
"Lafayette, LA Metro Area",410883,60910,954,,29180,,,,,
"Lafayette-West Lafayette, IN Metro Area",225019,59895,1071,,29200,,,,,
"La Grande, OR Micro Area",26192,64212,982,,29260,,,,,
"LaGrange, GA-AL Micro Area",104271,53959,1000,,29300,,,,,
"Lake Charles, LA Metro Area",245973,67010,1070,,29340,,,,,
"Lake City, FL Micro Area",70755,55070,915,,29380,,,,,
"Lake Havasu City-Kingman, AZ Metro Area",217420,55799,1047,,29420,,,,,
"Lakeland-Winter Haven, FL Metro Area",760961,63644,1272,,29460,,,,,
"Lake of the Woods, VA Micro Area",37208,94175,1145,,29470,,,,,
"Lancaster, PA Metro Area",555151,83703,1289,,29540,,,,,
"Lansing-East Lansing, MI Metro Area",470434,70886,1054,,29620,,,,,
"Laramie, WY Micro Area",37713,59881,936,,29660,,,,,
"Laredo, TX Metro Area",267731,62506,997,,29700,,,,,
"Lares, PR Micro Area",27944,19323,493,,29720,,,,,
"Las Cruces, NM Metro Area",221665,55663,903,,29740,,,,,
"Las Vegas, NM Micro Area",31212,47700,775,,29780,,,,,
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",2293764,73845,1518,,29820,,,,,
"Laurel, MS Micro Area",83050,49867,810,,29860,,,,,
"Laurinburg, NC Micro Area",34353,43500,766,,29900,,,,,
"Lawrence, KS Metro Area",119547,68756,1066,,29940,,,,,
"Lawrenceburg, TN Micro Area",44901,53233,736,,29980,,,,,
"Lawton, OK Metro Area",127174,59060,933,,30020,,,,,
"Lebanon, MO Micro Area",36245,50825,796,,30060,,,,,
"Lebanon, PA Metro Area",143592,76350,1087,,30140,,,,,
"Lebanon-Claremont, NH-VT Micro Area",222850,79161,1182,,30150,,,,,
"Le Mars, IA Micro Area",25699,81600,865,,30180,,,,,
"Lewisburg, PA Micro Area",42570,72894,944,,30260,,,,,
"Lewisburg, TN Micro Area",35276,70829,924,,30280,,,,,
"Lewiston, ID-WA Metro Area",64901,70694,956,,30300,,,,,
"Lewiston-Auburn, ME Metro Area",112323,67298,966,,30340,,,,,
"Lewistown, PA Micro Area",46074,61415,792,,30380,,,,,
"Lexington, NE Micro Area",25949,66023,859,,30420,,,,,
"Lexington-Fayette, KY Metro Area",517378,70717,1070,,30460,,,,,
"Lexington Park, MD Metro Area",208163,123577,1694,,30500,,,,,
"Liberal, KS Micro Area",21640,62269,924,,30580,,,,,
"Lima, OH Metro Area",101685,62001,898,,30620,,,,,
"Lincoln, IL Micro Area",27870,64188,804,,30660,,,,,
"Lincoln, NE Metro Area",341309,73095,1043,,30700,,,,,
"Little Rock-North Little Rock-Conway, AR Metro Area",753605,65309,1007,,30780,,,,,
"Lock Haven, PA Micro Area",37707,58842,815,,30820,,,,,
"Logan, UT-ID Metro Area",151746,77520,1120,,30860,,,,,
"Logansport, IN Micro Area",37703,56525,778,,30900,,,,,
"Longview, TX Metro Area",288921,65210,1039,,30980,,,,,
"Longview-Kelso, WA Metro Area",111539,72932,1169,,31020,,,,,
"Los Alamos, NM Micro Area",19374,143188,1308,,31060,,,,,
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13012469,93525,1987,,31080,,,,,
"Louisville/Jefferson County, KY-IN Metro Area",1361847,71737,1064,,31140,,,,,
"Lubbock, TX Metro Area",354782,62288,1116,,31180,,,,,
"Ludington, MI Micro Area",29177,62296,840,,31220,,,,,
"Lufkin, TX Micro Area",86791,58847,1056,,31260,,,,,
"Lumberton, NC Micro Area",116858,40318,784,,31300,,,,,
"Lynchburg, VA Metro Area",262716,67782,967,,31340,,,,,
"Macomb, IL Micro Area",27102,50434,730,,31380,,,,,
"Macon-Bibb County, GA Metro Area",234040,58127,1003,,31420,,,,,
"Madison, IN Micro Area",33074,59987,865,,31500,,,,,
"Madison, WI Metro Area",683967,86827,1300,,31540,,,,,
"Madisonville, KY Micro Area",45143,57610,841,,31580,,,,,
"Magnolia, AR Micro Area",22527,47363,631,,31620,,,,,
"Malvern, AR Micro Area",33142,52644,763,,31680,,,,,
"Manchester-Nashua, NH Metro Area",424732,100436,1532,,31700,,,,,
"Manhattan, KS Metro Area",133413,64096,1083,,31740,,,,,
"Manitowoc, WI Micro Area",81314,68611,777,,31820,,,,,
"Mankato, MN Metro Area",103736,74722,1023,,31860,,,,,
"Mansfield, OH Metro Area",125138,57649,791,,31900,,,,,
"Marietta, OH Micro Area",59318,61355,828,,31930,,,,,
"Marinette, WI-MI Micro Area",65202,60185,732,,31940,,,,,
"Marion, IN Micro Area",66377,54007,799,,31980,,,,,
"Marion, NC Micro Area",44679,55527,741,,32000,,,,,
"Marion, OH Micro Area",65145,57306,850,,32020,,,,,
"Marion-Herrin, IL Micro Area",66902,65521,897,,32060,,,,,
"Marquette, MI Micro Area",66430,64675,923,,32100,,,,,
"Marshall, MN Micro Area",25498,72761,742,,32140,,,,,
"Marshall, MO Micro Area",23177,56566,733,,32180,,,,,
"Marshalltown, IA Micro Area",39971,72785,860,,32260,,,,,
"Martin, TN Micro Area",32959,49502,760,,32280,,,,,
"Martinsville, VA Micro Area",63949,47021,733,,32300,,,,,
"Maryville, MO Micro Area",20959,55970,754,,32340,,,,,
"Mason City, IA Micro Area",50165,66394,829,,32380,,,,,
"Massena-Ogdensburg, NY Micro Area",107796,61900,799,,32390,,,,,
"Mayagüez, PR Metro Area",211487,20400,483,,32420,,,,,
"Mayfield, KY Micro Area",36612,50576,713,,32460,,,,,
"McAlester, OK Micro Area",43629,54787,857,,32540,,,,,
"McAllen-Edinburg-Mission, TX Metro Area",880921,52281,925,,32580,,,,,
"McComb, MS Micro Area",53794,41963,860,,32620,,,,,
"McMinnville, TN Micro Area",41587,54088,775,,32660,,,,,
"McPherson, KS Micro Area",30130,77701,889,,32700,,,,,
"Meadville, PA Micro Area",83189,60254,800,,32740,,,,,
"Medford, OR Metro Area",222563,71443,1310,,32780,,,,,
"Memphis, TN-MS-AR Metro Area",1341606,64743,1153,,32820,,,,,
"Menomonie, WI Micro Area",45349,71785,942,,32860,,,,,
"Merced, CA Metro Area",285597,65044,1284,,32900,,,,,
"Meridian, MS Micro Area",87408,49156,893,,32940,,,,,
"Mexico, MO Micro Area",24688,56232,698,,33020,,,,,
"Miami, OK Micro Area",30360,48656,764,,33060,,,,,
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6138876,73481,1770,,33100,,,,,
"Michigan City-La Porte, IN Metro Area",112141,70452,926,,33140,,,,,
"Middlesborough, KY Micro Area",23878,32403,617,,33180,,,,,
"Midland, MI Metro Area",83641,77538,974,,33220,,,,,
"Midland, TX Metro Area",176726,93442,1377,,33260,,,,,
"Milledgeville, GA Micro Area",43669,55413,865,,33300,,,,,
"Milwaukee-Waukesha, WI Metro Area",1566361,76404,1105,,33340,,,,,
"Minden, LA Micro Area",36189,37396,777,,33380,,,,,
"Mineral Wells, TX Micro Area",28920,64972,1024,,33420,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3693351,98180,1396,,33460,,,,,
"Minot, ND Metro Area",76773,79195,993,,33500,,,,,
"Missoula, MT Metro Area",124435,70888,1118,,33540,,,,,
"Mitchell, SD Micro Area",25779,64723,745,,33580,,,,,
"Moberly, MO Micro Area",24524,55310,742,,33620,,,,,
"Mobile, AL Metro Area",413162,58119,1021,,33660,,,,,
"Modesto, CA Metro Area",552250,79661,1528,,33700,,,,,
"Monroe, LA Metro Area",224705,49203,897,,33740,,,,,
"Monroe, MI Metro Area",155001,75272,1017,,33780,,,,,
"Montgomery, AL Metro Area",385159,62746,1063,,33860,,,,,
"Monticello, IN Micro Area",24709,66143,853,,33900,,,,,
"Monticello, NY Micro Area",79147,69826,999,,33910,,,,,
"Montrose, CO Micro Area",43272,66072,1120,,33940,,,,,
"Morehead City, NC Micro Area",68652,70235,1062,,33980,,,,,
"Morgan City, LA Micro Area",48455,51768,839,,34020,,,,,
"Morgantown, WV Metro Area",140724,62394,926,,34060,,,,,
"Morristown, TN Metro Area",120765,58130,853,,34100,,,,,
"Moscow, ID Micro Area",40315,65179,905,,34140,,,,,
"Moses Lake, WA Micro Area",100428,71115,1059,,34180,,,,,
"Moultrie, GA Micro Area",45907,49691,779,,34220,,,,,
"Mountain Home, AR Micro Area",42150,48427,866,,34260,,,,,
"Mountain Home, ID Micro Area",29046,58976,1111,,34300,,,,,
"Mount Airy, NC Micro Area",71407,56095,741,,34340,,,,,
"Mount Pleasant, MI Micro Area",64475,53759,863,,34380,,,,,
"Mount Pleasant, TX Micro Area",55950,56163,811,,34420,,,,,
"Mount Sterling, KY Micro Area",47286,55186,737,,34460,,,,,
"Mount Vernon, IL Micro Area",36808,61102,862,,34500,,,,,
"Mount Vernon, OH Micro Area",62888,73988,925,,34540,,,,,
"Mount Vernon-Anacortes, WA Metro Area",130407,85474,1439,,34580,,,,,
"Muncie, IN Metro Area",112109,56932,874,,34620,,,,,
"Murray, KY Micro Area",37882,51854,828,,34660,,,,,
"Murrells Inlet, SC Micro Area",64200,66734,1166,,34680,,,,,
"Muscatine, IA Micro Area",42735,69512,966,,34700,,,,,
"Muskegon-Norton Shores, MI Metro Area",175378,63495,960,,34740,,,,,
"Muskogee, OK Micro Area",66471,51999,824,,34780,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",368937,64623,1181,,34820,,,,,
"Nacogdoches, TX Micro Area",64897,51528,923,,34860,,,,,
"Nantucket, MA Micro Area",14299,119750,2070,,34880,,,,,
"Napa, CA Metro Area",136070,108970,2141,,34900,,,,,
"Naples-Marco Island, FL Metro Area",387681,86173,1752,,34940,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2043713,82499,1434,,34980,,,,,
"Natchez, MS-LA Micro Area",54550,38706,721,,35020,,,,,
"Natchitoches, LA Micro Area",37047,46798,767,,35060,,,,,
"New Bern, NC Micro Area",122634,63380,1068,,35100,,,,,
"Newberry, SC Micro Area",38121,59670,854,,35140,,,,,
"New Castle, IN Micro Area",48896,60144,807,,35220,,,,,
"New Haven, CT Metro Area",566803,86266,1463,,35300,,,,,
"New Iberia, LA Micro Area",69194,57811,891,,35340,,,,,
"New Orleans-Metairie, LA Metro Area",988763,62271,1182,,35380,,,,,
"New Philadelphia-Dover, OH Micro Area",92585,64494,876,,35420,,,,,
"Newport, OR Micro Area",50632,61314,1150,,35440,,,,,
"Newport, TN Micro Area",36503,48416,787,,35460,,,,,
"New Ulm, MN Micro Area",25826,68690,931,,35580,,,,,
"New York-Newark-Jersey City, NY-NJ Metro Area",19756722,97334,1780,,35620,,,,,
"Niles, MI Metro Area",153411,63152,923,,35660,,,,,
"Nogales, AZ Micro Area",48209,53614,781,,35700,,,,,
"Norfolk, NE Micro Area",48682,66629,850,,35740,,,,,
"North Platte, NE Micro Area",34934,64652,866,,35820,,,,,
"North Port-Bradenton-Sarasota, FL Metro Area",865031,78278,1637,,35840,,,,,
"North Wilkesboro, NC Micro Area",65983,50438,715,,35900,,,,,
"Norwalk, OH Micro Area",58412,65972,824,,35940,,,,,
"Norwich-New London-Willimantic, CT Metro Area",279025,84185,1316,,35980,,,,,
"Oak Harbor, WA Micro Area",86747,88358,1631,,36020,,,,,
"Ocala, FL Metro Area",387697,58535,1174,,36100,,,,,
"Ocean Pines, MD Micro Area",53279,81455,1180,,36180,,,,,
"Odessa, TX Metro Area",163206,71031,1284,,36220,,,,,
"Ogden, UT Metro Area",645510,98361,1393,,36260,,,,,
"Oil City, PA Micro Area",50096,61626,774,,36340,,,,,
"Okeechobee, FL Micro Area",40249,52288,974,,36380,,,,,
"Oklahoma City, OK Metro Area",1445122,70499,1081,,36420,,,,,
"Olean, NY Micro Area",76479,58248,759,,36460,,,,,
"Olympia-Lacey-Tumwater, WA Metro Area",296640,93985,1634,,36500,,,,,
"Omaha, NE-IA Metro Area",972840,83023,1152,,36540,,,,,
"Oneonta, NY Micro Area",59738,67086,942,,36580,,,,,
"Ontario, OR-ID Micro Area",57891,59225,837,,36620,,,,,
"Opelousas, LA Micro Area",82128,45637,742,,36660,,,,,
"Orangeburg, SC Micro Area",83531,43214,804,,36700,,,,,
"Orlando-Kissimmee-Sanford, FL Metro Area",2721022,75611,1659,,36740,,,,,
"Oshkosh-Neenah, WI Metro Area",171357,72873,924,,36780,,,,,
"Oskaloosa, IA Micro Area",22045,69019,821,,36820,,,,,
"Othello, WA Micro Area",20690,65042,901,,36830,,,,,
"Ottawa, IL Micro Area",147676,70941,893,,36837,,,,,
"Ottawa, KS Micro Area",25994,72142,949,,36840,,,,,
"Ottumwa, IA Micro Area",35265,60034,950,,36900,,,,,
"Owatonna, MN Micro Area",37413,83448,1006,,36940,,,,,
"Owensboro, KY Metro Area",112322,65656,894,,36980,,,,,
"Owosso, MI Micro Area",68061,64464,876,,37020,,,,,
"Oxford, MS Micro Area",69359,61617,1036,,37060,,,,,
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",838259,107327,2248,,37100,,,,,
"Ozark, AL Micro Area",49516,53955,863,,37120,,,,,
"Paducah, KY-IL Metro Area",102924,62286,854,,37140,,,,,
"Pahrump, NV Micro Area",53207,55975,1013,,37220,,,,,
"Palatka, FL Micro Area",74235,47256,902,,37260,,,,,
"Palestine, TX Micro Area",57825,58846,1006,,37300,,,,,
"Palm Bay-Melbourne-Titusville, FL Metro Area",620533,75817,1456,,37340,,,,,
"Pampa, TX Micro Area",21916,56658,897,,37420,,,,,
"Panama City-Panama City Beach, FL Metro Area",206627,67834,1390,,37460,,,,,
"Paragould, AR Micro Area",46182,56793,852,,37500,,,,,
"Paris, TN Micro Area",32345,48540,741,,37540,,,,,
"Paris, TX Micro Area",62042,57315,898,,37580,,,,,
"Parkersburg-Vienna, WV Metro Area",88960,56029,786,,37620,,,,,
"Payson, AZ Micro Area",53610,59089,1001,,37740,,,,,
"Pella, IA Micro Area",33551,78059,880,,37800,,,,,
"Pensacola-Ferry Pass-Brent, FL Metro Area",516994,73588,1267,,37860,,,,,
"Peoria, IL Metro Area",365773,70872,923,,37900,,,,,
"Peru, IN Micro Area",35772,61130,794,,37940,,,,,
"Petoskey, MI Micro Area",34159,73724,1033,,37950,,,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6241882,89273,1413,,37980,,,,,
"Phoenix-Mesa-Chandler, AZ Metro Area",4941206,84703,1581,,38060,,,,,
"Picayune, MS Micro Area",56781,56535,887,,38100,,,,,
"Pierre, SD Micro Area",20744,78965,925,,38180,,,,,
"Pikeville, KY Micro Area",92808,42014,792,,38210,,,,,
"Pine Bluff, AR Micro Area",73271,48727,838,,38220,,,,,
"Pinehurst-Southern Pines, NC Metro Area",102840,82837,1181,,38240,,,,,
"Pittsburg, KS Micro Area",38963,50311,837,,38260,,,,,
"Pittsburgh, PA Metro Area",2443921,73942,1011,,38300,,,,,
"Pittsfield, MA Metro Area",128047,72565,1042,,38340,,,,,
"Plainview, TX Micro Area",37541,53276,789,,38380,,,,,
"Platteville, WI Micro Area",51678,64349,812,,38420,,,,,
"Plattsburgh, NY Micro Area",78961,69208,956,,38460,,,,,
"Plymouth, IN Micro Area",46225,68041,936,,38500,,,,,
"Pocatello, ID Metro Area",88457,64080,879,,38540,,,,,
"Ponca City, OK Micro Area",43731,56673,830,,38620,,,,,
"Ponce, PR Metro Area",273739,20646,503,,38660,,,,,
"Pontiac, IL Micro Area",35659,70796,855,,38700,,,,,
"Poplar Bluff, MO Micro Area",42166,49213,768,,38740,,,,,
"Port Angeles, WA Micro Area",77593,67999,1110,,38820,,,,,
"Portland-South Portland, ME Metro Area",557764,88602,1384,,38860,,,,,
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510529,94573,1654,,38900,,,,,
"Port Lavaca, TX Micro Area",19921,71870,1121,,38920,,,,,
"Port St. Lucie, FL Metro Area",506701,72506,1491,,38940,,,,,
"Portsmouth, OH Micro Area",73118,49571,749,,39020,,,,,
"Port Townsend, WA Micro Area",33313,71143,1291,,39040,,,,,
"Pottsville, PA Micro Area",143259,66901,842,,39060,,,,,
"Prescott Valley-Prescott, AZ Metro Area",241656,66106,1258,,39150,,,,,
"Price, UT Micro Area",20446,53673,828,,39220,,,,,
"Providence-Warwick, RI-MA Metro Area",1673807,85646,1236,,39300,,,,,
"Provo-Orem-Lehi, UT Metro Area",695895,96745,1434,,39340,,,,,
"Pueblo, CO Metro Area",168726,62250,1059,,39380,,,,,
"Pullman, WA Micro Area",47042,52893,1002,,39420,,,,,
"Punta Gorda, FL Metro Area",195083,66154,1289,,39460,,,,,
"Putnam, CT Micro Area",95829,87564,1153,,39480,,,,,
"Quincy, IL-MO Micro Area",75111,63470,803,,39500,,,,,
"Racine-Mount Pleasant, WI Metro Area",196888,75331,1017,,39540,,,,,
"Raleigh-Cary, NC Metro Area",1449594,96066,1459,,39580,,,,,
"Rapid City, SD Metro Area",151064,71985,1083,,39660,,,,,
"Raymondville, TX Micro Area",20218,45645,868,,39700,,,,,
"Reading, PA Metro Area",429989,77684,1143,,39740,,,,,
"Red Bluff, CA Micro Area",65520,61834,1159,,39780,,,,,
"Redding, CA Metro Area",181554,71931,1267,,39820,,,,,
"Red Wing, MN Micro Area",47844,82749,939,,39860,,,,,
"Reno, NV Metro Area",556539,84684,1491,,39900,,,,,
"Rexburg, ID Micro Area",67279,60690,960,,39940,,,,,
"Rice Lake, WI Micro Area",46741,64619,859,,39960,,,,,
"Richmond, IN Micro Area",66377,56652,813,,39980,,,,,
"Richmond, VA Metro Area",1327321,84405,1388,,40060,,,,,
"Richmond-Berea, KY Micro Area",124287,58837,818,,40080,,,,,
"Rifle, CO Micro Area",79153,90267,1637,,40090,,,,,
"Rio Grande City-Roma, TX Micro Area",65809,38182,715,,40100,,,,,
"Riverside-San Bernardino-Ontario, CA Metro Area",4637725,86031,1756,,40140,,,,,
"Riverton, WY Micro Area",39472,64646,858,,40180,,,,,
"Roanoke, VA Metro Area",314661,67447,986,,40220,,,,,
"Roanoke Rapids, NC Micro Area",65431,45823,769,,40260,,,,,
"Rochelle, IL Micro Area",51536,79244,901,,40300,,,,,
"Rochester, MN Metro Area",227252,89675,1195,,40340,,,,,
"Rochester, NY Metro Area",1058875,74438,1102,,40380,,,,,
"Rockford, IL Metro Area",336605,66571,988,,40420,,,,,
"Rockingham, NC Micro Area",42818,43626,744,,40460,,,,,
"Rock Springs, WY Micro Area",41786,76464,913,,40540,,,,,
"Rocky Mount, NC Metro Area",144228,57437,889,,40580,,,,,
"Rolla, MO Micro Area",44948,55427,801,,40620,,,,,
"Rome, GA Metro Area",98985,62540,971,,40660,,,,,
"Roseburg, OR Micro Area",111807,58983,995,,40700,,,,,
"Roswell, NM Micro Area",64446,52029,838,,40740,,,,,
"Ruidoso, NM Micro Area",20227,51643,883,,40760,,,,,
"Russellville, AL Micro Area",31978,51493,667,,40770,,,,,
"Russellville, AR Micro Area",84025,54936,822,,40780,,,,,
"Ruston, LA Micro Area",48160,38035,821,,40820,,,,,
"Rutland, VT Micro Area",60484,64778,965,,40860,,,,,
"Sacramento-Roseville-Folsom, CA Metro Area",2406563,93986,1729,,40900,,,,,
"Safford, AZ Micro Area",38860,67326,890,,40940,,,,,
"Saginaw, MI Metro Area",189210,58347,921,,40980,,,,,
"St. Cloud, MN Metro Area",200816,75670,1021,,41060,,,,,
"St. George, UT Metro Area",189827,76411,1464,,41100,,,,,
"St. Joseph, MO-KS Metro Area",120609,62900,885,,41140,,,,,
"St. Louis, MO-IL Metro Area",2809414,78225,1073,,41180,,,,,
"St. Marys, PA Micro Area",30703,64103,720,,41260,,,,,
"Salem, OH Micro Area",101203,58474,736,,41400,,,,,
"Salem, OR Metro Area",435085,76010,1324,,41420,,,,,
"Salina, KS Micro Area",59583,63998,908,,41460,,,,,
"Salinas, CA Metro Area",435834,94486,1995,,41500,,,,,
"Salisbury, MD Metro Area",128802,69592,1200,,41540,,,,,
"Salt Lake City-Murray, UT Metro Area",1261337,95045,1486,,41620,,,,,
"San Angelo, TX Metro Area",120830,66037,1125,,41660,,,,,
"San Antonio-New Braunfels, TX Metro Area",2612802,74297,1299,,41700,,,,,
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3282782,102285,2154,,41740,,,,,
"Sandpoint, ID Micro Area",49456,65168,1059,,41760,,,,,
"Sandusky, OH Metro Area",115099,70687,889,,41780,,,,,
"Sanford, NC Micro Area",64565,63060,962,,41820,,,,,
"San Francisco-Oakland-Fremont, CA Metro Area",4653593,133780,2426,,41860,,,,,
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969353,157444,2794,,41940,,,,,
"San Juan-Bayamón-Caguas, PR Metro Area",2063795,27966,607,,41980,,,,,
"San Luis Obispo-Paso Robles, CA Metro Area",281486,93398,1899,,42020,,,,,
"Santa Cruz-Watsonville, CA Metro Area",266021,109266,2172,,42100,,,,,
"Santa Fe, NM Metro Area",155175,74689,1318,,42140,,,,,
"Santa Maria-Santa Barbara, CA Metro Area",443975,95977,2050,,42200,,,,,
"Santa Rosa-Petaluma, CA Metro Area",485642,102840,2093,,42220,,,,,
"Sault Ste. Marie, MI Micro Area",36448,60631,793,,42300,,,,,
"Savannah, GA Metro Area",412089,74632,1370,,42340,,,,,
"Sayre, PA Micro Area",59971,62482,868,,42380,,,,,
"Scottsbluff, NE Micro Area",36594,61156,889,,42420,,,,,
"Scottsboro, AL Micro Area",52839,49454,762,,42460,,,,,
"Scranton--Wilkes-Barre, PA Metro Area",567887,63656,963,,42540,,,,,
"Seaford, DE Micro Area",247799,78162,1221,,42580,,,,,
"Searcy, AR Micro Area",77395,53435,806,,42620,,,,,
"Seattle-Tacoma-Bellevue, WA Metro Area",4021467,112594,1932,,42660,,,,,
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",163856,71049,1284,,42680,,,,,
"Sebring, FL Metro Area",103808,55581,980,,42700,,,,,
"Sedalia, MO Micro Area",43205,60232,863,,42740,,,,,
"Selinsgrove, PA Micro Area",39711,68435,890,,42780,,,,,
"Selma, AL Micro Area",37536,36810,749,,42820,,,,,
"Seneca, SC Micro Area",79566,60193,876,,42860,,,,,
"Seneca Falls, NY Micro Area",33125,66007,925,,42900,,,,,
"Sevierville, TN Micro Area",98802,63829,1013,,42940,,,,,
"Seymour, IN Micro Area",46319,70208,946,,42980,,,,,
"Shawano, WI Micro Area",45183,66189,764,,43020,,,,,
"Shawnee, OK Micro Area",73011,60828,869,,43060,,,,,
"Sheboygan, WI Metro Area",117783,71898,889,,43100,,,,,
"Shelby-Kings Mountain, NC Micro Area",100170,55769,835,,43140,,,,,
"Shelbyville, TN Micro Area",51291,62197,917,,43180,,,,,
"Shelton, WA Micro Area",66968,78359,1205,,43220,,,,,
"Sheridan, WY Micro Area",31585,70855,950,,43260,,,,,
"Sherman-Denison, TX Metro Area",139988,70455,1178,,43300,,,,,
"Show Low, AZ Micro Area",107744,52752,832,,43320,,,,,
"Shreveport-Bossier City, LA Metro Area",389004,54635,1003,,43340,,,,,
"Sidney, OH Micro Area",48007,72822,904,,43380,,,,,
"Sierra Vista-Douglas, AZ Metro Area",125458,58970,939,,43420,,,,,
"Sikeston, MO Micro Area",50046,55225,801,,43460,,,,,
"Silver City, NM Micro Area",27856,45921,810,,43500,,,,,
"Sioux City, IA-NE-SD Metro Area",144007,72027,968,,43580,,,,,
"Sioux Falls, SD-MN Metro Area",293107,81418,987,,43620,,,,,
"Slidell-Mandeville-Covington, LA Metro Area",269331,79277,1305,,43640,,,,,
"Snyder, TX Micro Area",16633,62689,913,,43660,,,,,
"Somerset, KY Micro Area",65503,50943,835,,43700,,,,,
"Somerset, PA Micro Area",73255,59378,749,,43740,,,,,
"Sonora, CA Micro Area",54873,72259,1247,,43760,,,,,
"South Bend-Mishawaka, IN-MI Metro Area",324180,65385,1013,,43780,,,,,
"Sparta, WI Micro Area",46169,68213,920,,43890,,,,,
"Spartanburg, SC Metro Area",365086,62440,991,,43900,,,,,
"Spearfish, SD Micro Area",26574,66766,923,,43940,,,,,
"Spencer, IA Micro Area",16446,64082,798,,43980,,,,,
"Spirit Lake, IA Micro Area",17844,74570,930,,44020,,,,,
"Spokane-Spokane Valley, WA Metro Area",591793,72836,1187,,44060,,,,,
"Springfield, IL Metro Area",207386,74580,949,,44100,,,,,
"Springfield, MA Metro Area",462853,70535,1105,,44140,,,,,
